,Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice,candlecolor,engulfing,stochRSI,SMA10Close,SMA20Close,SMA50Close,SMA100Close,SMA200Close,IchimokuconversionLine,IchimokuBaseline,IchimokuLeadingSpanA,IchimokuLeadingSpanB,IchimokuLaggingSpan,IchimokuCloudSpan,DistanceLeadingSpanA,DistanceLeadingSpanB,ConversionLineBaseLine,AverageTrueRange,SupportLine1,SupportLine2,SupportLine3,SupportSlope1,SupportSlope2,SupportSlope3,ResistantLine1,ResistantLine2,ResistantLine3,ResistanceSlope1,ResistanceSlope2,ResistanceSlope3,CategoricalIncrease
229,376.38,391.88,364.7,375.39,0.24475522,19180444.0,377.54,-1.0,0.0,0.56924766,0.08997842,0.07479421,0.23049629,0.02081089,0.28808,1.0874557,0.9325235,1.0099896,0.9325235,0.6984469,0.0774661,374.38,374.4575,0.1549322,66.47714,0.632094,0.632094,0.632094,9.485415e-06,9.485415e-06,9.485415e-06,1.4119173,1.2720681,1.1763556,3.4164166e-06,4.8195743e-06,1.2361013e-05,1
230,375.39,390.99,369.12,390.99,0.22357348,17577126.0,378.75,-1.0,0.0,0.34800863,0.051205914,0.093116194,0.25454974,0.06613545,0.3117443,1.0483644,0.895317,0.97184074,0.895317,0.66871274,0.0765237,390.01816,390.0947,0.1530474,64.46,0.6118704,0.6118704,0.6118704,9.106959e-06,9.106959e-06,9.106959e-06,1.216237,1.1495006,1.0536159,4.6272794e-06,9.449166e-06,3.3635755e-05,1
231,390.99,443.96,390.59,434.63,0.30398434,26103084.0,413.68,1.0,0.0,0.059113435,0.053654835,0.16609184,0.3230702,0.16556795,0.37640923,0.94176656,0.8054207,0.8735936,0.8054207,0.5314866,0.06817293,433.7564,433.8246,0.13634586,51.80857,0.5549657,0.5549657,0.5549657,8.192554e-06,8.192554e-06,8.192554e-06,1.0895694,1.0253228,0.9195536,4.162667e-06,8.500401e-06,3.0258483e-05,0
232,434.63,447.99,409.07,431.07,0.23268208,20690020.0,428.36,1.0,0.0,0.0,0.046201315,0.13650799,0.3101529,0.16170831,0.3662788,0.9476419,0.8120723,0.8798571,0.8120723,0.53480875,0.067784816,430.19016,430.25793,0.13556963,48.73,0.5641554,0.5641554,0.5641554,8.260213e-06,8.260213e-06,8.260213e-06,1.0940007,1.0299023,1.0299023,4.1970447e-06,8.252314e-06,8.252314e-06,0
233,431.07,440.99,382.0,399.83,0.27170795,23605714.0,418.52,-1.0,0.0,0.0,0.02063627,0.04586074,0.24879673,0.097733535,0.31143486,1.0216842,0.90663534,0.9641598,0.8755221,0.58925045,0.08863767,398.86584,398.95447,0.11504889,48.62143,0.61324203,0.61324203,0.61324203,8.905609e-06,8.905609e-06,8.905609e-06,1.1745752,1.1204512,1.1204512,4.524973e-06,7.727565e-06,7.727565e-06,1
234,399.77,421.91,393.11,410.9,0.18270938,15626235.0,411.98,-1.0,0.0,0.41852197,0.0111340955,0.055776343,0.26222876,0.12362254,0.32518142,0.99415916,0.8822098,0.9381845,0.8519348,0.5714042,0.086249694,409.96182,410.04807,0.11194938,48.999287,0.6016333,0.6016333,0.6016333,8.665685e-06,8.665685e-06,8.665685e-06,1.1381797,1.0825363,1.0825363,4.403066e-06,7.519378e-06,7.519378e-06,0
235,409.95,419.0,403.34,409.04,0.14158954,12144445.0,413.17,1.0,0.0,0.41387445,0.0121748485,0.035829015,0.25114706,0.11994353,0.31715015,0.9817255,0.8862214,0.93397343,0.85580873,0.5622922,0.07816473,408.10602,408.1842,0.095504105,48.11,0.6093446,0.6093446,0.6093446,8.705089e-06,8.705089e-06,8.705089e-06,1.1386021,1.0797497,1.0797497,4.4230883e-06,7.55357e-06,7.55357e-06,1
236,408.36,419.0,406.5,416.96,0.10423974,8958103.0,413.96,-1.0,1.0,0.13285226,0.0404835,0.04228823,0.25792018,0.13893251,0.3252764,0.9733787,0.86953187,0.9214553,0.83955294,0.56074923,0.08190234,416.03854,416.12045,0.10384689,43.029285,0.60269153,0.60269153,0.60269153,8.53974e-06,8.53974e-06,8.53974e-06,1.1123313,1.0517312,1.0048926,4.3390733e-06,7.410093e-06,2.6638909e-05,0
237,416.96,427.99,407.22,419.0,0.13818064,11973845.0,417.4,1.0,0.0,0.032405794,0.037983295,0.042961814,0.25290263,0.14412816,0.3236463,0.9686396,0.8748926,0.9217661,0.8354654,0.5702864,0.086300716,418.07825,418.16452,0.09374702,40.735714,0.6046947,0.6046947,0.6046947,8.498162e-06,8.498162e-06,8.498162e-06,1.1023139,1.0391911,0.9747487,4.3179475e-06,7.3740152e-06,2.6509211e-05,0
238,419.35,423.99,412.0,418.24,0.10861219,9458908.0,419.49,1.0,0.0,0.0,0.028440608,0.030941565,0.24219157,0.14305112,0.31747022,0.9715594,0.8823881,0.92697376,0.83698356,0.5874857,0.0899902,417.31302,417.403,0.08917129,38.30857,0.6107808,0.6107808,0.6107808,8.513604e-06,8.513604e-06,8.513604e-06,1.0997261,1.0336993,1.0336993,4.3257937e-06,7.387415e-06,7.387415e-06,1
239,418.59,432.87,381.47,430.69,0.122278325,10772300.0,424.34,-1.0,0.0,0.0,0.04663447,0.048303884,0.25517613,0.1686856,0.33240834,0.9486057,0.86468226,0.906644,0.8127888,0.6270636,0.09385521,429.78336,429.8772,0.083923474,37.34357,0.59800786,0.59800786,0.59800786,8.267501e-06,8.267501e-06,8.267501e-06,1.0634966,0.99670184,0.99670184,4.2007478e-06,7.173866e-06,7.173866e-06,1
240,430.18,452.19,377.87,451.92,0.14088821,12855428.0,439.5,1.0,0.0,0.24585351,0.07918437,0.084853515,0.2814538,0.20814502,0.35907584,0.91770667,0.8428704,0.88028854,0.7746061,0.62586296,0.105682425,451.0397,451.1454,0.074836254,38.090714,0.5746069,0.5746069,0.5746069,7.879115e-06,7.879115e-06,7.879115e-06,1.0093229,0.9578465,0.9578465,4.003408e-06,6.1906135e-06,6.1906135e-06,0
241,451.92,470.02,435.0,448.37,0.18574142,17554758.0,455.23,1.0,0.0,0.12526397,0.058304526,0.070479736,0.26639917,0.2035821,0.34903362,0.9256418,0.8712113,0.89842653,0.7807391,0.6917947,0.117687404,447.4716,447.58926,0.054430492,36.318573,0.58392435,0.58392435,0.58392435,7.941499e-06,7.941499e-06,7.941499e-06,1.013085,1.013085,1.013085,4.035105e-06,4.035105e-06,4.035105e-06,1
242,448.43,463.97,438.59,458.07,0.12798843,11934166.0,449.12,-1.0,0.0,0.20281197,0.07524614,0.088833585,0.27264655,0.22436397,0.35799637,0.92550266,0.86886287,0.89718276,0.76420635,0.8372738,0.1329764,457.17282,457.3058,0.056639817,35.216427,0.5762647,0.5762647,0.5762647,7.773331e-06,7.773331e-06,7.773331e-06,1.0260878,1.0260878,1.0260878,3.582657e-06,3.582657e-06,3.582657e-06,0
243,458.97,464.79,447.38,455.57,0.10424058,9846820.0,454.98,1.0,0.0,1.0,0.06424479,0.08424281,0.25898325,0.22447702,0.3495204,0.93058145,0.838532,0.8845567,0.7684,0.73095244,0.11615668,454.68546,454.8016,0.09204952,34.012142,0.5841972,0.5841972,0.5841972,7.815988e-06,7.815988e-06,7.815988e-06,1.2980587,1.0280569,1.0280569,1.0736743e-06,3.3893916e-06,3.3893916e-06,0
244,456.3,458.08,435.03,443.31,0.107047774,9988792.0,449.43,-1.0,0.0,0.9858388,0.025792334,0.05461077,0.22840856,0.2055336,0.32647786,0.95631725,0.87976813,0.91804266,0.78965056,0.7365049,0.1283921,442.39197,442.52036,0.07654914,33.314285,0.60529596,0.60529596,0.60529596,8.032144e-06,8.032144e-06,8.032144e-06,1.0527388,1.0527388,1.0527388,3.483127e-06,3.483127e-06,3.483127e-06,1
245,442.72,529.08,435.0,519.41,0.19402012,18859808.0,468.18,-1.0,1.0,1.0,0.16228606,0.19218248,0.3330498,0.32478178,0.4209739,0.8162049,0.756647,0.78642595,0.673957,0.68722206,0.11246896,518.6236,518.736,0.05955796,33.39857,0.5208657,0.5208657,0.5208657,6.8553354e-06,6.8553354e-06,6.8553354e-06,0.8953106,0.8953106,0.8953106,2.972806e-06,2.972806e-06,2.972806e-06,1
246,522.13,588.71,485.0,573.8,0.24455523,27447332.0,540.55,1.0,0.0,0.951809,0.2224573,0.26260543,0.3862391,0.39000767,0.4714106,0.7903015,0.76483095,0.77756625,0.6336703,0.6761938,0.14389595,573.02246,573.1663,0.025470547,36.306427,0.47537488,0.47537488,0.47537488,6.205524e-06,6.205524e-06,6.205524e-06,0.9220634,0.9220634,0.9220634,1.6773694e-06,1.6773694e-06,1.6773694e-06,1
247,573.5,611.0,563.0,610.0,0.14966792,18003682.0,579.35,1.0,0.0,0.73227876,0.24288853,0.2910467,0.4118741,0.42712852,0.4981622,0.7922787,0.77107376,0.78167623,0.64494264,0.7150656,0.1367336,609.2183,609.35504,0.021204919,40.934284,0.45084542,0.45084542,0.45084542,5.837262e-06,5.837262e-06,5.837262e-06,0.9650984,0.9650984,0.9650984,6.2955843e-07,6.2955843e-07,6.2955843e-07,1
248,610.0,778.85,603.21,754.83,0.41598856,60801424.0,703.93,1.0,0.0,0.9102799,0.36285257,0.41226304,0.5152119,0.53741825,0.5904851,0.6550283,0.63789195,0.6464601,0.53596175,0.6117934,0.11049839,754.18353,754.29407,0.01713631,40.149284,0.36734074,0.36734074,0.36734074,4.7172607e-06,4.7172607e-06,4.7172607e-06,0.8094538,0.8094538,0.8094538,2.5794964e-07,2.5794964e-07,2.5794964e-07,0
