Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,PriceMovement
9152.07,9356.14,7948,8196.69,21191.02,182210730.9,8598.49,1
8195.99,8425,7682,8265.05,18387.61,148610946.9,8082.12,1
8265.05,8613.06,7914.08,8258.54,16498.62,137219222.8,8317.01,2
8258.54,8356.4,7730.23,7860.83,12048.67,97294029.18,8075.09,0
7860.83,8324.92,7325.37,8188.24,19547.36,150315447.6,7689.81,0
8205.55,8718.74,8114.17,8596.93,19396.09,162448296.2,8375.31,0
8596.79,9051,8313.01,8904.02,13454.82,116496171,8658.32,1
8904.02,9188.1,8754.83,8893.79,12101,108594771.1,8974.03,2
8892.18,9099.59,8503.52,8704.67,12587.63,109923828.1,8732.68,0
8708.52,8920.79,8265,8920.79,13749.78,117134344.5,8518.99,2
8917.99,9020,8505,8547,9731.98,85811618.32,8817.49,2
8541.96,8680,8368.63,8453.9,9155.91,78013217.69,8520.53,2
8451.12,8500,7831.15,8149.66,17693.42,145246518.5,8209.07,2
8152.26,8211.62,7742.11,7791.7,12385.25,98488415.19,7952.07,0
7791.69,8104.98,7723.03,7932.41,8437.64,66890222.86,7927.59,2
7932.41,7968,6914.53,7088.38,22138.11,163975079.8,7406.91,2
7086.14,7302.35,6550,6850,29101.45,199556780.7,6857.28,0
6839.63,7231.73,6794.26,6928.62,11579.6,81326187.47,7023.23,2
6926.5,7045.71,6427.16,6813.52,18046.94,121116431.4,6711.19,0
6816.31,7106.5,6759.96,7052.76,13624.16,95159965.02,6984.65,0
7052.75,7506.84,7001.28,7416.27,16089.54,118019785.6,7335.19,2
7415.53,7430,6710.38,6799.95,15779.2,110954121.8,7031.67,1
6799.37,6928.7,6578.95,6771.69,11894.54,80262665.41,6747.86,2
6771.3,6850,6510,6618.33,8478.42,56294477.9,6639.74,0
6627.7,7069.13,6600.99,6904.9,7683.04,52984840.5,6896.34,0
6904.21,7104.52,6894.8,7027.26,4352.7,30482451.72,7003.12,2
7027.26,7175.83,6611.49,6780.1,10103.92,69104966.97,6839.42,1
6782.39,6900,6653.21,6835.67,6480.19,43978750.45,6786.64,0
6824.75,6984.92,6809.26,6940.94,5825.41,40165964.26,6894.96,0
6940.94,8069.34,6758.45,7923.78,19033.38,143664243.1,7548.02,1
7923.78,8239.33,7753.32,7896.92,19605.94,157461506.3,8031.32,0
7885.9,8232.14,7835,8000.41,8935.53,71681139.86,8022.03,0
8003.39,8417,8001.23,8354.22,7542.84,62269321.05,8255.42,2
8353.43,8424.99,7905,8048.15,10866.6,87993966.21,8097.65,2
8054.68,8160.85,7806.81,7890.87,9277.15,74462014.27,8026.39,0
7890.87,8235,7870.35,8172.84,9227.2,74525247.42,8076.69,0
8172.83,8297.99,8074.44,8271.31,9436.85,77478927.09,8210.26,0
8273,8934,8216.9,8861,16059.62,136267900.2,8485.12,1
8865.78,9023.4,8608,8920.71,15336.31,134950187.1,8799.39,2
8924.93,9036.52,8760,8789.96,9346.45,83089020.81,8889.9,0
8781.7,9006.39,8771.22,8946.95,10286.12,91446649.76,8890.3,0
8942,9737.16,8930,9648,20460.51,190711801.5,9320.97,2
9648.36,9755.53,8751,8864.99,33035.9,303220038.6,9178.5,0
8855.07,9326.79,8647.29,9274.48,20042.97,178009104.5,8881.37,2
9277.32,9387.82,8901.09,8921.43,11375.51,104644754.1,9199.12,0
8916.54,9442.34,8854.47,9345.11,15558.4,143728559,9238,1
9352.97,9538.75,9180,9393.99,10940.72,102349678.5,9354.93,2
9396.32,9443.96,9111,9242.17,8085.69,74978446.9,9272.98,2
9243.51,9249.99,8815.91,9066.9,12138.26,109028331.1,8982.2,0
9066.9,9259.16,8975.23,9222,10575.17,96344037.24,9110.4,0
9220,9799.99,9165.19,9732.43,11670.8,109943721.5,9420.41,1
9737,9784.73,9527.38,9696.57,7326.05,70716940.7,9652.8,0
9689,9948.98,9670.68,9823.28,7403.11,72754286.99,9827.54,2
9827.04,9918.41,9375,9623.54,8155.58,78150008.85,9582.4,2
9621.99,9634.5,9175,9359.52,13616.35,127010639.9,9327.8,2
9356.79,9450,9015,9167.69,11418.31,105415298,9232.13,0
9181.52,9368.79,8974.62,9308.49,11368.83,104305920.5,9174.72,2
9308.49,9393,8987.74,9020.99,11764.98,108645338.1,9234.64,2
9007.19,9018.38,8351,8411.42,20383.93,177279928,8697.05,1
8408.79,8652.8,8208.81,8481.6,15464.93,130051000.7,8409.41,0
8481.72,8775.9,8335.56,8696.58,9835.22,84280724.78,8569.27,1
8696.54,8900.9,8286.57,8674.36,18861.94,162135043.6,8595.89,2
8674.53,8865,8400,8474.99,12391.83,107036084.5,8637.63,2
8481.99,8505.33,8100.01,8346.59,12705.12,105058169.9,8268.96,2
8337.77,8500,7980,8067.03,8259.12,68210896.57,8258.85,0
8058.16,8275.1,7929.53,8248.87,7181.2,58093499.64,8089.66,1
8248.99,8395,8141.08,8231.2,3784.08,31243933.28,8256.69,0
8225.55,8590,8170.71,8518.48,5315,44509496.32,8374.32,2
8518.64,8589.1,8320,8391.76,6126.97,51780405.45,8451.22,2
8403.23,8417.65,7951.41,7984.08,9101.06,74532297.79,8189.41,2
