,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,index,candle color,engulfing,stochRSI,SMA10-Close,SMA20-Close,SMA50-Close,SMA100-Close,SMA200-Close,Ichimoku conversion Line,Ichimoku Baseline,Ichimoku Leading Span A,Ichimoku Leading Span B,Ichimoku Lagging Span,Ichimoku Cloud Span,Distance-Leading Span A,Distance-Leading Span B,ConversionLine - BaseLine,Average True Range,Support Line 1,Support Line 2,Support Line 3,Support Slope 1,Support Slope 2,Support Slope 3,Resistant Line 1,Resistant Line 2,Resistant Line 3,Resistance Slope 1,Resistance Slope 2,Resistance Slope 3,IncreaseTomorrow
655,121.94,122.29,121.11,121.2,2942.64,357487.44,121.49,655.0,1.0,0.0,0.0,0.011212871,0.019546205,-0.012232673,-0.13757673,-0.10386634,0.8820132,0.8820132,0.8820132,0.9073845,1.0039604,-0.025371287,120.317986,120.29262,0.0,6.676429,0.7061104,0.7061104,0.7061104,1.21960675e-05,1.21960675e-05,1.21960675e-05,1.0541943,1.0146865,1.0146865,5.763351e-06,6.8879395e-05,6.8879395e-05,0
656,121.25,122.49,121.13,122.49,3926.34,478718.0,121.92,656.0,-1.0,0.0,0.5571739,-0.0011102947,0.0071107848,-0.018888073,-0.14462732,-0.1107817,0.8727243,0.8727243,0.8727243,0.8978284,0.9965711,-0.02510409,121.61728,121.59217,0.0,6.589286,0.7010561,0.7010561,0.7010561,1.2067625e-05,1.2067625e-05,1.2067625e-05,1.0414157,0.9983672,0.9983672,5.7026546e-06,5.2085637e-05,5.2085637e-05,0
657,122.49,124.49,120.11,123.5,11885.13,1461029.4,122.93,657.0,1.0,0.0,0.7078731,-0.011182186,-0.0026558705,-0.023222672,-0.14898866,-0.11569393,0.86558706,0.86558706,0.86558706,0.8904858,1.0327935,-0.024898786,122.634415,122.60951,0.0,6.6042857,0.6976934,0.6976934,0.6976934,1.1968934e-05,1.1968934e-05,1.1968934e-05,1.0312389,0.9918219,0.9918219,5.6560175e-06,3.7308135e-05,3.7308135e-05,0
658,123.5,125.17,122.17,124.13,13183.37,1633356.5,123.9,658.0,1.0,0.0,0.6828881,-0.0189801,-0.009095304,-0.024280995,-0.15052687,-0.11811689,0.8611939,0.8611939,0.8611939,0.8859663,1.0181261,-0.024772417,123.26881,123.24403,0.0,6.7421427,0.696519,0.696519,0.696519,1.1908188e-05,1.1908188e-05,1.1908188e-05,1.0243561,1.0029002,1.0029002,5.627311e-06,1.836202e-05,1.836202e-05,0
659,124.5,127.99,122.3,125.9,18933.76,2371894.5,125.27,659.0,1.0,0.0,0.78675014,-0.03468626,-0.024166005,-0.03461795,-0.15972121,-0.1283614,0.8456315,0.8490866,0.847359,0.8735107,1.0143765,-0.026151707,125.05264,125.02649,-0.0034551232,6.7964287,0.68906814,0.68906814,0.68906814,1.17407735e-05,1.17407735e-05,1.17407735e-05,1.0083318,1.0083318,1.0083318,5.5481983e-06,5.5481983e-06,5.5481983e-06,0
660,125.79,126.8,124.9,126.8,11382.15,1432857.9,125.89,660.0,1.0,0.0,0.826193,-0.04241325,-0.030414037,-0.038152996,-0.16242035,-0.13210331,0.8398659,0.84305996,0.8414629,0.8673107,0.9817823,-0.025847793,125.958534,125.932686,-0.0031940064,7.0764284,0.6865099,0.6865099,0.6865099,1.165744e-05,1.165744e-05,1.165744e-05,1.0093849,1.0093849,1.0093849,4.650338e-06,4.650338e-06,4.650338e-06,0
661,126.8,127.42,125.93,127.38,7866.7,996941.2,126.73,661.0,1.0,0.0,0.8196131,-0.046341654,-0.03330193,-0.039962318,-0.1631881,-0.1338342,0.83604175,0.83922124,0.8376315,0.8633616,0.98414195,-0.0257301,126.542366,126.51664,-0.003179463,7.0764284,0.68571395,0.68571395,0.68571395,1.160436e-05,1.160436e-05,1.160436e-05,1.0034255,1.0034255,1.0034255,4.6291634e-06,4.6291634e-06,4.6291634e-06,0
662,127.38,128.0,126.01,127.98,7571.27,964578.8,127.4,662.0,1.0,0.0,0.86425096,-0.050773557,-0.0362752,-0.041609626,-0.1631755,-0.13585287,0.8985388,0.83528674,0.8669128,0.85931396,0.98663855,0.0075988434,127.11309,127.12069,0.06325207,6.9964285,0.6848261,0.6848261,0.6848261,1.1549956e-05,1.1549956e-05,1.1549956e-05,0.99736613,0.99736613,0.99736613,4.6074606e-06,4.6074606e-06,4.6074606e-06,1
663,127.58,133.0,127.57,132.82,12574.15,1635271.2,130.05,663.0,1.0,0.0,0.8496143,-0.067196205,-0.06962054,-0.073472366,-0.19001205,-0.16552928,0.92034334,0.8048487,0.862596,0.8280003,0.955579,0.034595694,131.9574,131.992,0.11549465,6.925,0.6621206,0.6621206,0.6621206,1.1129072e-05,1.1129072e-05,1.1129072e-05,0.9637103,0.9637103,0.9637103,4.1163694e-06,4.1163694e-06,4.1163694e-06,0
664,132.83,138.22,132.0,135.42,21256.28,2875363.0,135.27,664.0,1.0,0.0,0.8146807,-0.073888645,-0.08372102,-0.08776547,-0.20069782,-0.17994387,0.934537,0.80490327,0.8697201,0.8121031,0.93782306,0.057617042,134.55028,134.6079,0.12963372,7.1185713,0.65162224,0.65162224,0.65162224,1.0915399e-05,1.0915399e-05,1.0915399e-05,0.9821297,0.9821297,0.9821297,1.0855543e-06,1.0855543e-06,1.0855543e-06,1
665,135.43,147.39,134.09,142.76,22232.08,3088042.8,138.9,665.0,1.0,0.0,0.88646543,-0.1120622,-0.12678272,-0.13154384,-0.23695503,-0.22046441,0.90477026,0.78180164,0.8432859,0.78180164,0.86985147,0.06148431,141.91672,141.9782,0.12296862,7.222857,0.6185071,0.6185071,0.6185071,9.650407e-06,9.650407e-06,9.650407e-06,43.769325,43.769325,43.769325,-0.000117114374,-0.000117114374,-0.000117114374,0
666,142.75,147.0,137.38,137.56,26332.9,3755375.5,142.61,666.0,1.0,0.0,1.0,-0.0628235,-0.08668218,-0.09422797,-0.20310919,-0.18907894,0.972303,0.844686,0.9084945,0.844686,0.89350104,0.06380852,136.6515,136.71532,0.12761705,8.002143,0.6296926,0.6296926,0.6296926,6.748405e-06,6.748405e-06,6.748405e-06,619.1441,619.1441,619.1441,-0.00020279973,-0.00020279973,-0.00020279973,1
667,137.54,145.0,135.0,143.94,16767.05,2377733.5,141.81,667.0,-1.0,1.0,1.0,-0.09389329,-0.12274559,-0.1316229,-0.23404266,-0.22344345,0.9363624,0.8072461,0.87180424,0.8072461,0.85723215,0.06455815,143.06819,143.13275,0.1291163,5.632143,0.6093553,0.6093553,0.6093553,6.765286e-06,6.765286e-06,6.765286e-06,554.88794,0.9553562,1.3814753,-0.00019381083,-7.725654e-06,4.1535244e-05,1
668,143.94,154.69,143.23,152.89,23007.23,3412142.5,148.31,668.0,1.0,0.0,1.0,-0.13356662,-0.16854274,-0.17905161,-0.27437243,-0.26733926,0.881974,0.7599909,0.8209824,0.7599909,0.80626595,0.060991563,152.06902,152.13,0.121983126,5.147143,0.56877863,0.56877863,0.56877863,4.3183295e-06,4.3183295e-06,4.3183295e-06,489.90353,0.89713067,1.3186336,-0.00018246537,-7.2734033e-06,3.910382e-05,1
669,152.89,172.0,152.44,166.0,37966.98,6198648.5,163.26,669.0,1.0,0.0,1.0,-0.18466868,-0.22627108,-0.23974337,-0.32766145,-0.3237503,0.8421385,0.7219578,0.78204817,0.7219578,0.73873496,0.060090363,165.21796,165.27805,0.120180726,5.5014286,0.5228154,0.5228154,0.5228154,3.402679e-06,3.402679e-06,3.402679e-06,563.22723,563.22723,563.22723,-0.0001692424,-0.0001692424,-0.0001692424,0
670,166.0,166.6,162.54,166.59,5667.35,936151.9,165.18,670.0,1.0,0.0,0.9430477,-0.1634852,-0.21730897,-0.23749685,-0.32530823,-0.32464463,0.89420134,0.7713548,0.8327781,0.7713548,0.743502,0.061423253,165.75722,165.81865,0.12284651,6.8142858,0.5216418,0.5216418,0.5216418,3.390628e-06,3.390628e-06,3.390628e-06,37534.797,37534.797,37534.797,-0.00027652446,-0.00027652446,-0.00027652446,1
671,166.6,181.93,166.05,180.13,33107.72,5817807.5,175.72,671.0,1.0,0.0,0.99278635,-0.20427468,-0.26494476,-0.29052794,-0.37178093,-0.37449896,0.8272081,0.71337366,0.7702909,0.71337366,0.68422806,0.056917228,179.35971,179.41663,0.113834456,7.007143,0.4830589,0.4830589,0.4830589,3.1357617e-06,3.1357617e-06,3.1357617e-06,31219.844,0.8160773,0.72006816,-0.00025573868,-6.146923e-05,-7.5442265e-05,1
672,180.15,196.27,179.0,189.75,41865.07,7918494.0,189.14,672.0,1.0,0.0,1.0,-0.21681686,-0.28829777,-0.32128274,-0.39896864,-0.4050216,0.81554675,0.70337284,0.7594598,0.70337284,0.65791833,0.056086957,188.99054,189.04663,0.112173915,7.8285713,0.45916542,0.45916542,0.45916542,2.976784e-06,2.976784e-06,2.976784e-06,5840.1694,5840.1694,5840.1694,-0.00020147205,-0.00020147205,-0.00020147205,1
673,189.74,203.96,185.0,203.96,24326.01,4773924.0,196.25,673.0,1.0,0.0,1.0,-0.24109629,-0.31682438,-0.36272505,-0.43595362,-0.44529858,0.80474114,0.68952245,0.74713176,0.68952245,0.622426,0.057609335,203.21288,203.27048,0.11521867,8.847857,0.4277311,0.4277311,0.4277311,2.7693898e-06,2.7693898e-06,2.7693898e-06,1759.2178,1759.2178,1759.2178,-0.00016154934,-0.00016154934,-0.00016154934,0
674,203.94,206.6,156.2,193.87,55593.93,10335518.0,185.91,674.0,1.0,0.0,1.0,-0.16490431,-0.25900346,-0.3218435,-0.40091452,-0.4148053,0.8718471,0.74524164,0.8085444,0.74524164,0.65270543,0.063302726,193.06146,193.12476,0.12660545,9.795714,0.45057806,0.45057806,0.45057806,2.9135233e-06,2.9135233e-06,2.9135233e-06,47.255394,47.255394,47.255394,-8.6094195e-05,-8.6094195e-05,-8.6094195e-05,0
675,194.0,194.0,167.67,186.6,32779.54,5880692.5,179.4,675.0,-1.0,0.0,1.0,-0.10104501,-0.21086013,-0.287806,-0.37209058,-0.3912315,0.9153269,0.7813505,0.84833866,0.7813505,0.6806538,0.06698821,185.75166,185.81865,0.13397641,13.26,0.468742,0.468742,0.468742,3.027035e-06,3.027035e-06,3.027035e-06,3.9551663,3.9551663,3.9551663,-2.9932015e-05,-2.9932015e-05,-2.9932015e-05,0
676,187.5,190.0,177.0,179.56,9644.32,1756970.5,182.18,676.0,-1.0,0.0,1.0,-0.041384496,-0.16170917,-0.25274336,-0.34214637,-0.3673357,0.9512141,0.81198484,0.8815995,0.81198484,0.7031076,0.06961461,178.6784,178.74802,0.13922922,15.034286,0.4877539,0.4877539,0.4877539,3.145716e-06,3.145716e-06,3.145716e-06,4.0577145,1.013199,0.9501612,-3.110556e-05,-0.00013822869,-3.884135e-05,1
677,180.39,195.0,179.5,194.0,10095.57,1905642.8,188.76,677.0,-1.0,0.0,0.78127754,-0.09108763,-0.20939691,-0.3019835,-0.38625258,-0.41570103,0.9016237,0.7515464,0.82658505,0.7515464,0.6563402,0.07503866,193.17342,193.24846,0.15007731,15.820714,0.4434985,0.4434985,0.4434985,1.132937e-06,1.132937e-06,1.132937e-06,3.7076952,0.88569105,0.8979524,-2.8790279e-05,-0.0001279399,-1.943225e-05,0
678,194.99,197.5,190.8,196.62,12248.66,2386611.5,194.85,678.0,1.0,0.0,0.63119763,-0.077738784,-0.20200387,-0.3037504,-0.388964,-0.42267317,0.9130302,0.7415319,0.82728106,0.7415319,0.5281762,0.085749164,195.79272,195.87846,0.17149833,16.54,0.4378103,0.4378103,0.4378103,1.1178404e-06,1.1178404e-06,1.1178404e-06,3.6115427,0.8253458,0.8632694,-2.8406641e-05,-0.00012623509,-2.5540206e-05,1
679,196.62,205.0,195.32,204.69,16744.51,3351774.8,200.17,679.0,1.0,0.0,0.45778134,-0.09273536,-0.21575798,-0.3235517,-0.4076032,-0.4426689,0.8862182,0.75382286,0.8200205,0.71229666,0.5746739,0.10772388,203.86998,203.9777,0.13239533,16.574286,0.4207623,0.4207623,0.4207623,1.073769e-06,1.073769e-06,1.073769e-06,3.424826,0.74876696,0.8187379,-2.7286696e-05,-0.00012125821,-2.488975e-05,0
680,204.0,206.0,195.0,197.54,25494.15,5125567.0,201.05,680.0,1.0,0.0,0.4632516,-0.040310822,-0.16742939,-0.29066315,-0.38014933,-0.42009693,0.918295,0.81775844,0.86802673,0.73807836,0.6172927,0.12994836,196.67197,196.80193,0.1005366,16.315714,0.4362126,0.4362126,0.4362126,1.1126342e-06,1.1126342e-06,1.1126342e-06,3.5034406,0.7327704,0.8173343,-2.8274344e-05,-0.00012564717,-3.280952e-05,1
681,197.58,203.75,195.1,203.54,13741.49,2753814.5,200.4,681.0,-1.0,0.0,0.3664045,-0.05339491,-0.17459467,-0.3041574,-0.39292178,-0.43459,0.89122534,0.8025695,0.8468974,0.7163211,0.59546036,0.1305763,202.6931,202.82368,0.08865579,16.414286,0.42356813,0.42356813,0.42356813,1.0798358e-06,1.0798358e-06,1.0798358e-06,3.356717,0.6716652,0.78939,-2.7440867e-05,-0.00012194331,-2.9457982e-05,0
682,203.54,203.54,200.23,202.15,4962.81,1005501.9,202.61,682.0,1.0,0.0,0.08019423,-0.035305467,-0.15008162,-0.29185456,-0.38298145,-0.42792135,0.8973535,0.80808806,0.85272074,0.7212466,0.60593617,0.13147415,201.29727,201.42876,0.0892654,16.317858,0.9377578,0.9377578,0.9377578,5.9420796e-05,5.9420796e-05,5.9420796e-05,3.33661,0.63871706,0.80359507,-2.7629552e-05,-0.0001227818,-2.4335048e-05,0
683,202.14,205.15,201.2,204.86,6600.1,1347852.0,204.22,683.0,-1.0,1.0,0.044681262,-0.04201406,-0.1432222,-0.29382506,-0.3855921,-0.43236136,0.8854828,0.7973982,0.8414405,0.71170557,0.60285074,0.12973495,204.01855,204.1483,0.08808455,15.735714,0.95130366,0.95130366,0.95130366,5.8634745e-05,5.8634745e-05,5.8634745e-05,3.2503994,0.59525734,0.79378283,-2.7264054e-05,-0.00012115758,-2.163138e-05,1
684,204.86,210.0,203.51,210.0,11227.96,2318518.0,206.49,684.0,1.0,0.0,0.030633816,-0.06503333,-0.14704047,-0.3037619,-0.39516857,-0.44299856,0.88969046,0.7827857,0.8362381,0.6942857,0.5910952,0.14195238,209.16376,209.30571,0.10690476,14.620714,0.95404524,0.95404524,0.95404524,5.7199588e-05,5.7199588e-05,5.7199588e-05,3.130324,0.5484314,0.768277,-2.6596732e-05,-0.0001181921,-2.070127e-05,1
685,210.0,230.4,207.22,226.83,28261.79,6231108.0,220.48,685.0,1.0,0.0,0.0,-0.12729357,-0.19388749,-0.34788078,-0.43475246,-0.48168054,0.85306174,0.7324869,0.7927743,0.6502667,0.5550412,0.1425076,226.03723,226.17973,0.12057488,14.794286,0.8971917,0.8971917,0.8971917,5.2237196e-05,5.2237196e-05,5.2237196e-05,9.357253,9.357253,9.357253,-4.4737353e-05,-4.4737353e-05,-4.4737353e-05,1
