Open,High,Low,Close,VolumeBTC,VolumeCurrency,WeightedPrice
121.25,128,120.11,127.98,74748.74,9339376.39,124.94
127.58,172,127.57,166,160136.67,23342576.65,145.77
166,206.6,156.2,179.56,202983.94,37419558.77,184.35
180.39,206,179.5,204.86,89887.28,17876764.26,198.88
204.86,363.65,203.51,341.24,256351.38,70808214.94,276.22
341.24,447.47,265.01,434.53,234564.01,85003648.89,362.39
434.53,874.81,378,829.15,288537.85,173556122.6,601.5
829.15,1163,747,1119.52,174970.76,163103763.8,932.18
1119.52,1153.27,542.38,693.3,307865.95,276428731.5,897.89
693.3,989.6,651,850.78,146545.21,125943779.5,859.42
850.78,869.98,382.21,595.03,367460.93,227884095.9,620.16
595.07,764.32,575.61,715,107897.7,73977058.98,685.62
715,830,703.45,828.79,71533.08,54777206.53,765.76
828.79,995,765,896.59,164621.46,141535899,859.77
895,905,765,810,84370.12,69352958.84,822.01
810,845,767.02,806.8,63240.63,51119031.43,808.33
806.81,834,725,813.23,91135.48,72166385.61,791.86
813.23,825.21,619,680.49,125595,92159697.2,733.78
680.49,755.42,530,655.83,259783.29,167561609.8,645.01
655.83,670,530.01,610.88,154918.16,93544786.07,603.83
610.77,646,400,567.48,291568.19,156922337.5,538.2
567.46,710,553,620,153656.29,98724214.3,642.5
620.02,656.95,609,637.24,61986.98,39342366.64,634.69
637.58,639.39,541,565.31,81388.45,48295438.15,593.39
564.31,592.6,466.1,491.99,129803.13,68999092.86,531.57
491.99,509.98,416.11,464.8,158918.78,72456032.99,455.93
464.8,465,339.79,423.42,129201.77,52973044.61,410
424.91,548,397.16,503.8,149455.38,72322978.22,483.91
505.18,516.53,438.05,459,78574.97,37533574.06,477.68
459.22,465.88,424,439,77454.89,34478838.37,445.15
439,459.24,420.27,455.39,53371.19,23479433.34,439.93
457.7,458.2,429.6,449.06,37273.42,16518109.6,443.16
449.07,547.1,441.44,528.44,85131.34,42447203.95,498.61
528.44,629.4,527.09,627.8,100512.09,58666011.33,583.67
627.8,683.26,613.03,657.13,98111.93,63797475.08,650.25
657.13,661.11,538.38,566.58,85799.41,51456572.55,599.73
566.58,616,552.11,591.29,47206.05,28011658.8,593.39
591.33,605.05,554.45,589.56,41491.44,24112569.33,581.15
591.46,658.88,589.56,630,47452.29,30149292.02,635.36
630.9,642.57,607.9,638.1,31647.45,19766692.22,624.59
637.9,638.73,610,628.63,28722.97,17908043.86,623.47
630,630,590,596.23,31524.85,19220495.27,609.69
596.23,607.2,555.9,589.59,53768.29,31380223.57,583.62
589.6,595.7,576.44,587.97,32977.85,19289945.72,584.94
589.82,597,481.55,521.97,96349.83,51040182.84,529.74
523.47,534.14,442,497,114205.28,56408960.52,493.93
496.96,523.09,495.02,500.85,44816.43,22786104.57,508.43
501.49,504.75,470.42,479.78,51234.94,24686711.36,481.83
479.99,492,456.3,477.98,57920.74,27417513.22,473.36
477.99,481.58,378.78,408.76,100246.19,42849592.24,427.44
410.92,452.67,390,401.77,96536.81,40031078.5,414.67
399.16,403.99,322.04,326.21,123298.81,45472857.42,368.8
326.24,395.55,275,362,261174.55,86825708.94,332.44
362.77,417.99,354.71,390.58,124663.24,48311911.51,387.54
390.59,394.25,341.22,348.69,79386.89,29298240.62,369.06
348.69,363,316.61,324.7,74333.8,25510614.3,343.19
324.55,353.1,318.24,345.39,73991.12,24825814.45,335.52
346.19,453.92,343.4,376.99,167524.05,66660646.28,397.92
376.97,415,342.05,353.12,96515.65,36264265.31,375.73
354.29,395.11,353.01,375.49,83491.86,31281192.54,374.66
375.48,383,360,374.38,48350.65,18120676.07,374.78
375.05,377.5,339.8,351.67,68910.33,24507940.88,355.65
351.67,359.3,304.99,331.79,104685.22,34169417.17,326.4
331.77,338.99,311.63,316.47,50717.55,16531195.79,325.95
316.48,321,280,282,54583,16801524.65,307.82
280,305,255,275.59,90332.58,25128925.15,278.18
275.6,280.94,152.4,199.69,345315.9,72636316.55,210.35
199.69,249.99,195.02,249.19,122999.85,27393596.08,222.71
249.33,309.9,215.75,216.9,199677.99,50531165.97,253.06
218.04,244.39,208.48,228.3,100102.29,22597758.15,225.75
228.78,259.31,215,256.99,99009.72,22735767.81,229.63
256.81,267.92,227.75,245.41,88540.79,21495963.65,242.78
245.84,256.15,232.05,253.47,56164.76,13695694.42,243.85
253.45,284.95,245,276.71,86982.2,23474298.86,269.87
276.71,297.95,271.12,282.01,59160.6,17026447.39,287.8
282.36,294.26,249,260,62352.08,16789526.88,269.27
260,272,236.4,252.87,66731.1,16826589.37,252.16
252.91,256.96,236.52,253.7,46606.76,11508282.97,246.92
253.6,262.98,231,236.15,52995.81,13052858.54,246.3
236.09,237.5,210,223.4,69012.65,15430305.79,223.59
223.35,238.64,221.43,226.12,54685.16,12597000.63,230.36
226.12,240,214.98,233.83,66596.38,15087626.83,226.55
233.83,247.01,227.01,241.96,55206.89,13069057.98,236.73
241.83,244.99,232.22,235.66,46146.28,11045021.26,239.35
235.43,240.9,230.86,237.76,41757.38,9826033.09,235.31
237.87,241.64,231,232.11,41127.4,9700094.19,235.85
232.11,232.51,219.03,224.99,46109.08,10376699.24,225.05
224.95,232.04,221.86,231.64,42349.97,9661638.57,228.14
231.64,257.39,230.94,244.76,71360.49,17393595.32,243.74
244.65,252,238.2,251.21,36149.16,8808555.44,243.67
251.28,268,247.04,260.2,81685.72,20988030.15,256.94
260.16,298.05,258.75,291.64,125939.56,34595959.56,274.7
291.65,317.99,272.31,276.79,114375.38,33164054.53,289.96
276.74,292,274.62,288.78,61266.18,17197486.47,280.7
288.97,297.44,276.66,280.19,62099.86,17961048.9,289.23
280.19,285.88,260.41,262.19,49654.94,13830898.51,278.54
262.19,271.5,260.45,261.46,60691.64,16105504,265.37
261.46,262.2,221.11,231,100690.26,24045785.58,238.81
231,235.93,198.12,230.54,169438.16,37686963.39,222.42
230.41,237.22,224.39,235.6,137398.52,31492974.25,229.21
235.39,246.24,233.02,234.79,148135.88,35595726.31,240.29
234.79,236.09,223,230,117133.45,27003168.27,230.53
230,237.25,223.12,233.81,122269.02,28277287.29,231.27
233.81,240.56,231.16,238.95,130960.24,30998840.1,236.7
239.06,248.19,236.1,245.71,131180.82,31816894.38,242.54
245.71,273,242.82,270.07,164839.05,42003154.15,254.81
270.04,284,259.82,282.84,148397.07,40239641.85,271.16
283.03,334.67,279.25,310.18,216922.89,66057548.49,304.52
310.9,502,303.01,383.53,376075.94,149299430.1,396.99
383.62,390.47,294,333,241817.2,82978515.77,343.15
332.95,350.44,310,326.5,158210.67,52010951.32,328.74
326.5,369.7,316,356.95,85604.91,29255265.02,341.75
356.78,389.89,348.64,388,92633.12,34030381.73,367.37
388,467.8,381.01,436.19,129378.44,54022347.01,417.55
436.08,466.64,422.03,461.8,92938.48,41969667.06,451.59
461.89,462,407.25,417.39,90491.2,39666248.63,438.34
417.11,436,410.5,433.55,46061.27,19647381.47,426.55
433.2,465,424.06,448.84,51166.49,22648394.06,442.64
448.84,451.13,352,386.91,95829.85,38739810.5,404.26
387.8,422.98,372.53,386.4,79652.6,31340893.92,393.47
386.37,405.97,363.73,375.64,51886.76,20034038.95,386.11
376.38,391.88,364.7,375.39,50803.49,19180444.71,377.54
375.39,390.99,369.12,390.99,46407.92,17577126.58,378.75
390.99,443.96,390.59,434.63,63100.44,26103084.08,413.68
434.63,447.99,409.07,431.07,48301.08,20690020.19,428.36
431.07,440.99,382,399.83,56403.49,23605713.48,418.52
399.77,421.91,393.11,410.9,37929.39,15626235.17,411.98
409.95,419,403.34,409.04,29393.67,12144445.37,413.17
408.36,419,406.5,416.96,21640.23,8958103.36,413.96
416.96,427.99,407.22,419,28686.67,11973845.07,417.4
419.35,423.99,412,418.24,22548.48,9458907.52,419.49
418.59,432.87,381.47,430.69,25385.91,10772299.82,424.34
430.18,452.19,377.87,451.92,29249.81,12855428.22,439.5
451.92,470.02,435,448.37,38562.31,17554758.59,455.23
448.43,463.97,438.59,458.07,26572.52,11934166.43,449.12
458.97,464.79,447.38,455.57,21642.34,9846819.53,454.98
456.3,458.08,435.03,443.31,22225.39,9988791.64,449.43
442.72,529.08,435,519.41,40283.11,18859807.37,468.18
522.13,588.71,485,573.8,50776.33,27447331.91,540.55
573.5,611,563,610,31075.87,18003682.52,579.35
610,778.85,603.21,754.83,86373.84,60801425.25,703.93
753.47,764.93,1.5,659.86,107180.5,69848911.54,651.69
658.8,704.93,608.64,702.48,48536.33,31571448.14,650.47
702.48,704.99,605.5,647.78,43760.3,28588839.71,653.31
647.78,678,636.8,662.45,23456.22,15436231.05,658.09
662.45,684.19,645,655.52,20752.16,13825068.26,666.2
655.52,665,645.01,654.67,14013.24,9163471.21,653.92
654.02,654.71,465.28,589.48,67375.08,38188186.8,566.8
589.47,603,579.43,583.52,20167.99,11891901.77,589.64
583.54,583.92,552.3,577.88,29443.5,16806225.36,570.8
577.7,585.95,564.81,568.31,23633.17,13650034.81,577.58
567.51,598.64,566.8,595.01,22199.91,12750924.27,574.37
596.25,628.98,590.88,621.65,25487.29,15572192.55,610.98
621.65,628.99,594.63,604.1,22032.26,13365892.17,606.65
602.93,609.5,592.1,599.33,17704.86,10626480.16,600.2
600.05,614.28,596,612.98,17212.1,10397459.55,604.08
612.98,616.99,604.99,614.34,15981.6,9748579.22,609.99
614.34,642,610,635.96,21173.81,13343702.36,630.2
635.26,656,624.13,654.52,21893.79,13912315.78,635.45
654.52,717.99,640,711.13,32191.55,21504081.44,668
711.1,745.19,670.32,703.46,38665.2,27450466.73,709.95
703.33,740.86,697.92,702.28,31702.8,22673694.96,715.2
701.17,755.07,683.23,750.75,43762.02,31573427.09,721.48
750.09,753.82,714,729.91,28751.5,21140531.86,735.28
729.91,778.07,721,760.75,36841.24,27432006.58,744.6
762.97,774.12,743,772.28,30318.97,23058076.48,760.52
772.28,793.27,764.01,788.52,20383.87,15851892.41,777.67
788.3,920,780,892.61,54570.61,46612998.01,854.18
892.61,980.74,859,966.3,50413.08,47404831.32,940.33
966.34,1139.89,812.28,906.2,130006.77,127143435.1,977.98
906.2,941.81,751.34,818.27,97507.35,81439665.84,835.22
819.52,928,808,921.98,57422.44,50386916.37,877.48
921.98,937.74,881.48,918.6,36549.3,33226282.48,909.08
918.6,1044.23,910,1033.18,45881.7,45009524.02,980.99
1033.72,1074.69,913.73,1012.4,64788.29,65350534.13,1008.68
1011.01,1068.99,975.1,1056.4,33644.1,34444674.34,1023.8
1056.4,1220,1039.07,1152.2,63593.69,72519825.98,1140.36
1152.11,1298,1133,1260,42012.24,51464937.65,1225
1260,1350,975,1176.55,83594.61,99403145.34,1189.11
1176.58,1260,944.36,969.4,74351,84566360.21,1137.39
969.4,1117.9,891.33,956.02,80843.37,81528573.54,1008.48
956.02,1097,937.52,1083.94,62108.54,63959599.58,1029.8
1083.95,1202,1066.49,1184.03,49031.97,55935322.4,1140.79
1184.05,1229,1141,1173.45,33359.71,39650803.83,1188.58
1171,1252.32,1150,1233.2,32962.77,39856049.96,1209.12
1231.85,1347.02,1223.42,1333,38442.54,49844623.64,1296.6
1336.77,1623.01,1315.68,1558.02,75192.23,112410379,1494.97
1554.04,1892,1525,1776.89,97338.55,165551834.8,1700.78
1776.8,2021,1641.22,2013.99,90835.63,164624631.6,1812.34
2013.99,2760.1,1850,2042,146885.75,335713072.9,2285.54
2042.89,2584.34,2041.48,2540.94,99313.59,230799852.1,2323.95
2538.1,2933,2460,2899.99,95593.86,263203060.3,2753.35
2899.01,2980,2120,2630,145816.68,373376184.3,2560.59
2630.06,2789,2460.62,2557.66,83931.01,222127234.4,2646.55
2557.66,2635.72,2291,2412.41,89564.92,221696793,2475.26
2421.3,2639.47,2374.34,2550.07,63981.33,162642462.6,2542.03
2550.13,2564.65,1967.65,1970.51,93219.55,213626582.4,2291.65
1970.51,2938,1830,2832.71,158759.26,373650602.5,2353.57
2824.82,2855,2400,2680.56,96722.3,255392225.3,2640.47
2681.6,3339.66,2569.69,3263.62,75399.99,214100409.6,2839.53
3263.51,3934,3146.1,3855.1,81476.64,280396057.8,3441.43
3855.04,4480,3800,4099.55,115667.85,479411340.1,4144.72
4091.99,4449.98,3600,4333.38,81564.16,333887212.2,4093.55
4333.38,4979.9,4169.01,4599.9,74476.54,342741463,4602.01
4599.9,4700,4001.93,4308.72,116734.9,511350007.3,4380.44
4322.44,4377.65,2972.01,3678.93,193603.19,714150399.4,3688.73
3669.07,4122.7,3463,3779.17,98952.29,375790603.2,3797.69
3781.13,4349,3615,4326.09,75893.61,304837521.4,4016.64
