"","portfolio.returns","zz500.1","hs300.1","gold.1","spx.1","hengsheng.1"
"2008-07-03",0.00837975201941621,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-07",0.00401990511731509,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-08",0.00322442915312116,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-09",0.000847244832726357,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-10",-0.00327667213566163,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-11",0.00287845433518097,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-14",-0.0177394571456265,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-15",-0.00225178682945082,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-16",0.0135363142209037,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-17",0.00668177460437858,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-18",0.0146991785332915,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-21",0.00507944939560812,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-22",0.00210404729974845,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-23",-0.00767569386814393,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-24",-0.00186860900576769,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-25",-0.00702701576548526,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-28",0.00198094257034231,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-29",0.00847266272338909,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-30",-0.0117931617458992,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-07-31",0.000487563905397614,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-08-01",-0.0132934899283285,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-08-04",-0.000308836289180658,0.192160126125592,0,0.138749140658894,0.473413308968667,0.195677424246847
"2008-08-05",-0.00696638507200098,0.083317742545394,0,0.0307631743946461,0.598055849035055,0.287863234024905
"2008-08-07",0.00558839009678924,0.083317742545394,0,0.0307631743946461,0.598055849035055,0.287863234024905
"2008-08-08",-0.00371682317482869,0.083317742545394,0,0.0307631743946461,0.598055849035055,0.287863234024905
"2008-08-11",-0.0119106847632479,0.083317742545394,0,0.0307631743946461,0.598055849035055,0.287863234024905
"2008-08-12",-0.00315291483835911,1.273242383556e-16,0,0,0.978471780869613,0.0215282191303875
"2008-08-13",0.00552358674852393,1.273242383556e-16,0,0,0.978471780869613,0.0215282191303875
"2008-08-14",0.00370768400350241,1.273242383556e-16,0,0,0.978471780869613,0.0215282191303875
"2008-08-15",-0.0150080158189898,1.273242383556e-16,0,0,0.978471780869613,0.0215282191303875
"2008-08-18",-0.00958401686987698,1.273242383556e-16,0,0,0.978471780869613,0.0215282191303875
"2008-08-19",0.0065949733528452,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-20",0.00189523668219715,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-21",-0.00769085262243108,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-25",0.00366277611987131,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-26",0.00820999413792278,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-27",0.0139852801672811,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-28",-0.0131372021721607,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-08-29",-0.00418830682347571,7.68100685859511e-17,0,0,0.979537600805654,0.0204623991943458
"2008-09-02",-0.00724128951540537,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-03",0.00712966554753125,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-04",-0.0454773865793603,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-05",-0.0488397971734471,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-08",0.00781796024064474,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-09",0.00578910684955991,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-10",-0.0187206196104757,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-11",0.00295413292623481,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-12",-0.0211301728456459,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-16",-0.0149980605211345,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-17",-0.0260620480016061,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-18",0.0945029583314159,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-19",0.0462682050176333,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-22",-0.0627437395819183,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-23",0.0222075359218601,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-24",0.0223522409996884,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-25",-0.000780245135769575,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-09-26",-0.0391142051713972,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-06",-0.0256692840214502,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-08",-0.0131645922672941,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-09",-0.0656923571914927,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-10",0.0179652054364459,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-13",-0.0292814556698144,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-14",-0.00504991526462228,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-15",-0.0561040522177906,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-16",0.0116610963393824,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-17",0.0329947844281351,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-20",-0.0026568197748742,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-21",-0.0201596990446516,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-22",0.0092341956751667,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-23",-0.0138023204619367,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-24",-0.0743235383169423,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-27",0.0224209517841027,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-28",-0.0376412758801997,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-29",0.00678170096013209,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-30",-0.0199912579695305,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-10-31",-0.0133672915506213,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-03",-0.0150222376481446,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-04",0.0310228797137844,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-05",-0.0169104917207793,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-06",0.0156220269798144,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-07",0.0716891703275182,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-10",-0.00876477644867357,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-11",0.023575941564161,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-12",0.0446035540262306,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-13",0.046944523451778,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-14",0.0475004564454788,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-17",-0.0708880533834083,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-18",0.0681427049542851,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-19",0.00270551207144254,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-20",-0.0118039669246364,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-21",-0.0382689974696682,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-24",-0.00761517274489731,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-25",0.00334083851002176,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-26",0.00384625898939928,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-11-28",0.0390576552255117,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-01",0.0191973419419349,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-02",0.0403297216981731,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-03",-0.0011399323703517,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-04",0.0281608313973134,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-05",0.0431256630064096,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-08",-0.0220710811458716,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-09",0.0268819818448511,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-10",-0.0294703688077355,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-11",-0.0434964468907715,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-12",0.0202413346514574,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-15",0.0175641421265149,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-16",0.0130434016155594,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-17",0.0170092708529963,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-18",0.00805590627816555,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-19",0.00161654693960678,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-22",-0.0632789584439041,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-23",-0.0206210304116936,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-24",-0.0110559813291465,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-29",-0.00669204857632544,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-30",-0.0132899437196011,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2008-12-31",0.0376215318354092,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-05",0.03457768091085,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-06",0.00501640875303844,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-07",-0.0235338692809757,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-08",0.0260414727376956,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-09",0.0141838021358549,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-12",-0.0271824353545731,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-13",0.0358022991254507,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-14",0.0095176887134818,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-15",0.00777445581119318,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-16",0.00905927349605173,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-20",0.00107933255915826,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-21",0.0171664872729265,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-22",-0.00614038150855967,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-01-23",0.0298586851263014,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-02",0.0266661508296573,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-03",0.0215428413080634,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-04",-0.0149853531410744,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-05",0.0440410370353381,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-06",0.0323804006608621,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-09",0.0307986298103071,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-10",0.000673185769150875,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-11",0.018359958372153,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-12",0.0344402563993402,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-13",-0.0220612608401984,0.965734394846841,0,0.0342656051531588,0,4.34897539560399e-17
"2009-02-17",-0.0266983095484763,0.770019395782751,-2.6222294970986e-16,0.22998060421725,0,0
"2009-02-18",0.0155371690995982,0.770019395782751,-2.6222294970986e-16,0.22998060421725,0,0
"2009-02-19",0.0312101702223362,0.770019395782751,-2.6222294970986e-16,0.22998060421725,0,0
"2009-02-20",0.0246881552200604,0.770019395782751,-2.6222294970986e-16,0.22998060421725,0,0
"2009-02-23",-0.0383758793656609,0.770019395782751,-2.6222294970986e-16,0.22998060421725,0,0
