__,hs300,zz500,sz50
2015/01/07 11:05,3670.2,5508.6,2638.4
2015/01/07 11:10,3675,5507.8,2638.2
2015/01/07 11:15,3676.4,5507.8,2637.8
2015/01/07 11:20,3673.4,5510.4,2639.2
2015/01/07 11:25,3664.4,5508,2637.8
2015/01/07 11:30,3658.6,5504.8,2636
2015/01/07 13:00,3662.4,5504.8,2637
2015/01/07 13:05,3650.2,5504.8,2637
2015/01/07 13:10,3647.6,5504.8,2635
2015/01/07 13:15,3643.2,5504.8,2635
2015/01/07 13:20,3646,5503.8,2635
2015/01/07 13:25,3654.6,5503.8,2635
2015/01/07 13:30,3647,5503.8,2635
2015/01/07 13:35,3634.2,5490.8,2640.6
2015/01/07 13:40,3638.4,5489.4,2640
2015/01/07 13:45,3621,5488.6,2640
2015/01/07 13:50,3627.6,5491.8,2641.2
2015/01/07 13:55,3622.2,5494.6,2642.4
2015/01/07 14:00,3619.6,5498.6,2644
2015/01/07 14:05,3644.6,5499.8,2644.2
2015/01/07 14:10,3635.2,5497.4,2643
2015/01/07 14:15,3646.8,5498.4,2643.4
2015/01/07 14:20,3649.6,5498.6,2643.2
2015/01/07 14:25,3656.4,5498.2,2642.8
2015/01/07 14:30,3655.2,5495.6,2641.6
2015/01/07 14:35,3643.6,5496.4,2642
2015/01/07 14:40,3660.2,5499,2643.6
2015/01/07 14:45,3660.2,5498.6,2643.4
2015/01/07 14:50,3660.4,5496.6,2642.2
2015/01/07 14:55,3653.6,5494.4,2641.6
2015/01/07 15:00,3652.6,5492.4,2640.8
2015/01/07 15:05,3655.8,5495.4,2641.8
2015/01/07 15:10,3657.2,5498.8,2642.8
2015/01/07 15:15,3663.2,5497.8,2642.4
2015/01/08 09:15,3671.4,5515.4,2648.2
2015/01/08 09:20,3673.4,5514.8,2648.2
2015/01/08 09:25,3675.2,5522.2,2651
2015/01/08 09:30,3669.8,5523.2,2651.4
2015/01/08 09:35,3662.6,5526.6,2652.6
2015/01/08 09:40,3652.8,5527.2,2652.8
2015/01/08 09:45,3657.2,5524.6,2651.8
2015/01/08 09:50,3652.2,5524.8,2651.6
2015/01/08 09:55,3646.4,5522.8,2650.2
2015/01/08 10:00,3639.2,5521.2,2649.2
2015/01/08 10:05,3608.2,5521.8,2649.6
2015/01/08 10:10,3587.4,5523.2,2650.4
2015/01/08 10:15,3573.8,5522,2650.2
2015/01/08 10:20,3575.8,5523.6,2650.8
2015/01/08 10:25,3584.8,5519.8,2649.2
2015/01/08 10:30,3576.8,5520.4,2649.6
2015/01/08 10:35,3599.2,5520.8,2649.6
2015/01/08 10:40,3597.4,5524,2650.8
2015/01/08 10:45,3571.4,5523.4,2650.2
2015/01/08 10:50,3596.4,5525.2,2651.4
2015/01/08 10:55,3597.6,5522.8,2650.6
2015/01/08 11:00,3600.6,5525.4,2651.4
2015/01/08 11:05,3617.4,5522.8,2650.8
2015/01/08 11:10,3597.4,5524,2651
2015/01/08 11:15,3583.4,5521.6,2650
2015/01/08 11:20,3584.8,5523.6,2651
2015/01/08 11:25,3579.2,5520.4,2649.2
2015/01/08 11:30,3576.6,5521.4,2649.2
2015/01/08 13:00,3565.4,5534.2,2657.8
2015/01/08 13:05,3588.2,5535.8,2658.8
2015/01/08 13:10,3579.4,5535.8,2659
2015/01/08 13:15,3560,5535.2,2658.6
2015/01/08 13:20,3583.6,5531.8,2657
2015/01/08 13:25,3581.8,5532,2657.2
2015/01/08 13:30,3575.4,5531.4,2657.2
2015/01/08 13:35,3578.2,5533.8,2657.8
2015/01/08 13:40,3591.6,5534.2,2658.2
2015/01/08 13:45,3583.2,5533.4,2658.2
2015/01/08 13:50,3595.4,5534.6,2658.8
2015/01/08 13:55,3584.8,5536.6,2659.8
2015/01/08 14:00,3595,5531.4,2657.4
2015/01/08 14:05,3596.6,5528.4,2656.8
2015/01/08 14:10,3613.8,5529.6,2657.4
2015/01/08 14:15,3611.4,5532.8,2658.8
2015/01/08 14:20,3621.6,5531.8,2658.8
2015/01/08 14:25,3604.2,5527.2,2657.4
2015/01/08 14:30,3601.6,5530.8,2659
2015/01/08 14:35,3587.6,5529.6,2658.8
2015/01/08 14:40,3587.8,5529.4,2658.2
2015/01/08 14:45,3582.4,5529.4,2658.8
2015/01/08 14:50,3570.2,5529.4,2659.4
2015/01/08 14:55,3561.6,5467.4,2553.6
2015/01/08 15:00,3567.6,5465.6,2552
2015/01/08 15:05,3562.8,5459.2,2550.2
2015/01/08 15:10,3563.6,5455.6,2549
2015/01/08 15:15,3562,5449.8,2560
2015/01/09 09:15,3567.2,5448,2559.6
2015/01/09 09:20,3556.8,5445.2,2558.8
2015/01/09 09:25,3555.2,5446.8,2559.4
2015/01/09 09:30,3565.2,5452.2,2561.8
2015/01/09 09:35,3556.8,5455.2,2562.8
2015/01/09 09:40,3567.2,5457.4,2563.4
2015/01/09 09:45,3566.6,5457.2,2563.2
2015/01/09 09:50,3575.8,5456.6,2563
2015/01/09 09:55,3578.4,5454,2561.6
2015/01/09 10:00,3581.8,5454.2,2561.4
2015/01/09 10:05,3574.2,5453.4,2560.8
2015/01/09 10:10,3581.6,5451.2,2560
2015/01/09 10:15,3575.2,5455.6,2562.2
2015/01/09 10:20,3565.4,5455.2,2562.4
2015/01/09 10:25,3564,5453.2,2561
2015/01/09 10:30,3565.6,5451.2,2560.4
2015/01/09 10:35,3575,5449.2,2559.8
2015/01/09 10:40,3568.2,5452.8,2561
2015/01/09 10:45,3561,5455.8,2562
2015/01/09 10:50,3569.6,5455.6,2561.8
2015/01/09 10:55,3577.8,5454.4,2561.8
2015/01/09 11:00,3572.8,5454,2561.6
2015/01/09 11:05,3563.4,5455.6,2562.4
