date;close
13/6/3 15:00;3814.51
13/6/4 10:00;3786.93
13/6/4 10:30;3767.85
13/6/4 11:00;3781.08
13/6/4 11:30;3741.48
13/6/4 13:30;3719.84
13/6/4 14:00;3726.72
13/6/4 14:30;3737.85
13/6/4 15:00;3739.72
13/6/5 10:00;3738.8
13/6/5 10:30;3743.45
13/6/5 11:00;3751.89
13/6/5 11:30;3734.6
13/6/5 13:30;3730.24
13/6/5 14:00;3732.77
13/6/5 14:30;3744.79
13/6/5 15:00;3755.15
13/6/6 10:00;3739.64
13/6/6 10:30;3733.47
13/6/6 11:00;3735.2
13/6/6 11:30;3715.43
13/6/6 13:30;3727.37
13/6/6 14:00;3718.3
13/6/6 14:30;3708.65
13/6/6 15:00;3688.74
13/6/7 10:00;3701.02
13/6/7 10:30;3665.67
13/6/7 11:00;3665
13/6/7 11:30;3630.58
13/6/7 13:30;3604.22
13/6/7 14:00;3620.6
13/6/7 14:30;3610.35
13/6/7 15:00;3616.21
13/6/13 10:00;3471.85
13/6/13 10:30;3487.89
13/6/13 11:00;3500.39
13/6/13 11:30;3516.33
13/6/13 13:30;3512.5
13/6/13 14:00;3502.17
13/6/13 14:30;3519.52
13/6/13 15:00;3515.05
13/6/14 10:00;3543.24
13/6/14 10:30;3536.3
13/6/14 11:00;3543.41
13/6/14 11:29;3558.41
13/6/14 13:30;3570.9
13/6/14 14:00;3575.94
13/6/14 14:30;3590.22
13/6/14 15:00;3584.98
13/6/17 10:00;3587.37
13/6/17 10:30;3572.8
13/6/17 11:00;3589.12
13/6/17 11:30;3611.5
13/6/17 13:30;3611.84
13/6/17 14:00;3618.38
13/6/17 14:30;3604.98
13/6/17 15:00;3593.37
13/6/18 10:00;3611.79
13/6/18 10:30;3579.37
13/6/18 11:00;3576.32
13/6/18 11:30;3583.91
13/6/18 13:30;3593.05
13/6/18 14:00;3612.45
13/6/18 14:30;3600.65
13/6/18 15:00;3605.76
13/6/19 10:00;3553.7
13/6/19 10:30;3539.85
13/6/19 11:00;3534.52
13/6/19 11:29;3557.3
13/6/19 13:30;3551.17
13/6/19 14:00;3563.22
13/6/19 14:30;3572.35
13/6/19 15:00;3583.3
13/6/20 10:00;3550.39
13/6/20 10:30;3556.17
13/6/20 11:00;3551.4
13/6/20 11:30;3545.67
13/6/20 13:30;3534.73
13/6/20 14:00;3521.37
13/6/20 14:30;3486.83
13/6/20 15:00;3465
13/6/21 10:00;3388.84
13/6/21 10:30;3411.76
13/6/21 11:00;3424.06
13/6/21 11:30;3411.95
13/6/21 13:30;3427.26
13/6/21 14:00;3415.06
13/6/21 14:30;3454.19
13/6/21 15:00;3446.48
13/6/24 10:00;3381.54
13/6/24 10:30;3383.72
13/6/24 11:00;3366.77
13/6/24 11:30;3344.2
13/6/24 13:30;3299.35
13/6/24 14:00;3224.95
13/6/24 14:30;3261.24
13/6/24 15:00;3232.96
13/6/25 10:00;3231.2
13/6/25 10:30;3195.41
13/6/25 11:00;3161.08
13/6/25 11:30;3049.2
13/6/25 13:30;3067.33
13/6/25 14:00;3129.54
13/6/25 14:30;3210.81
13/6/25 15:00;3219.13
13/6/26 10:00;3252.49
13/6/26 10:30;3211.74
13/6/26 11:00;3221.22
13/6/26 11:30;3244.38
13/6/26 13:30;3266.26
13/6/26 14:00;3247.84
13/6/26 14:30;3273.42
13/6/26 15:00;3285.82
13/6/27 10:00;3296.11
13/6/27 10:30;3320.68
13/6/27 11:00;3323.94
13/6/27 11:30;3300.19
13/6/27 13:30;3279.56
13/6/27 14:00;3268.58
13/6/27 14:30;3247.98
13/6/27 15:00;3233.22
13/6/28 10:00;3224.41
13/6/28 10:30;3253.28
13/6/28 11:00;3266.61
13/6/28 11:30;3253.16
13/6/28 13:30;3245.47
13/6/28 14:00;3217.66
13/6/28 14:30;3214.37
13/6/28 15:00;3235.98
13/7/1 10:00;3233.95
13/7/1 10:30;3261.51
13/7/1 11:00;3253.14
13/7/1 11:30;3228.72
13/7/1 13:30;3250.99
13/7/1 14:00;3270.41
13/7/1 14:30;3287.3
13/7/1 15:00;3304.59
13/7/2 10:00;3315.97
13/7/2 10:30;3328.91
13/7/2 11:00;3331.66
13/7/2 11:30;3325.61
13/7/2 13:30;3348.75
13/7/2 14:00;3346.66
13/7/2 14:30;3344.18
13/7/2 15:00;3359.05
13/7/3 10:00;3344.97
13/7/3 10:30;3307.93
13/7/3 11:00;3303.31
13/7/3 11:30;3321.68
13/7/3 13:30;3337.05
13/7/3 14:00;3350.43
13/7/3 14:30;3360.79
13/7/3 15:00;3364.18
13/7/4 10:00;3333.43
13/7/4 10:30;3346.21
13/7/4 11:00;3387.66
13/7/4 11:30;3399.12
13/7/4 13:30;3411.19
13/7/4 14:00;3416.37
13/7/4 14:30;3406.21
13/7/4 15:00;3390.49
13/7/5 10:00;3407.67
13/7/5 10:30;3410.21
13/7/5 11:00;3402.21
13/7/5 11:30;3406.74
13/7/5 13:30;3427.41
13/7/5 14:00;3402.51
13/7/5 14:30;3397.11
13/7/5 15:00;3371.53
13/7/8 10:00;3275.26
13/7/8 10:30;3312.34
13/7/8 11:00;3314.26
13/7/8 11:30;3303.29
13/7/8 13:30;3291.52
13/7/8 14:00;3282.8
13/7/8 14:30;3270.5
13/7/8 15:00;3240.48
13/7/9 10:00;3238.17
13/7/9 10:30;3225.69
13/7/9 11:00;3228.68
13/7/9 11:30;3242.63
13/7/9 13:30;3253.21
13/7/9 14:00;3249.21
13/7/9 14:30;3250.59
13/7/9 15:00;3259.91
13/7/10 10:00;3288.61
13/7/10 10:30;3270.59
13/7/10 11:00;3287.46
13/7/10 11:30;3291.52
13/7/10 13:30;3296.74
13/7/10 14:00;3337.46
13/7/10 14:30;3350.66
13/7/10 15:00;3361.4
13/7/11 10:00;3389.14
13/7/11 10:30;3401.16
13/7/11 11:00;3413.21
13/7/11 11:30;3436.23
13/7/11 13:30;3465.94
13/7/11 14:00;3483.62
13/7/11 14:30;3462.44
13/7/11 15:00;3455.88
13/7/12 10:00;3473.92
13/7/12 10:30;3473.79
13/7/12 11:00;3474.4
13/7/12 11:30;3470.19
13/7/12 13:30;3478.8
13/7/12 14:00;3450.39
13/7/12 14:30;3440
13/7/12 15:00;3425.14
13/7/15 10:00;3445.83
13/7/15 10:30;3466.66
13/7/15 11:00;3472.65
13/7/15 11:30;3482.68
