Date,Price
5/21/2014,1.090660
5/22/2014,1.093235
5/23/2014,1.089340
5/24/2014,1.086685
5/25/2014,1.086465
5/26/2014,1.086465
5/27/2014,1.085670
5/28/2014,1.087050
5/29/2014,1.088135
5/30/2014,1.084365
5/31/2014,1.084730
6/1/2014,1.084570
6/2/2014,1.084570
6/3/2014,1.090200
6/4/2014,1.091380
6/5/2014,1.093870
6/6/2014,1.092840
6/7/2014,1.093300
6/8/2014,1.092970
6/9/2014,1.092970
6/10/2014,1.091235
6/11/2014,1.091900
6/12/2014,1.087100
6/13/2014,1.085625
6/14/2014,1.086000
6/15/2014,1.085700
6/16/2014,1.085700
6/17/2014,1.085390
6/18/2014,1.086440
6/19/2014,1.087300
6/20/2014,1.082110
6/21/2014,1.075395
6/22/2014,1.075780
6/23/2014,1.075780
6/24/2014,1.073025
6/25/2014,1.073965
6/26/2014,1.072220
6/27/2014,1.068955
6/28/2014,1.066500
6/29/2014,1.066580
6/30/2014,1.066580
7/1/2014,1.066850
7/2/2014,1.063515
7/3/2014,1.066665
7/4/2014,1.062910
7/5/2014,1.065265
7/6/2014,1.065120
7/7/2014,1.065120
7/8/2014,1.067195
7/9/2014,1.067450
7/10/2014,1.065810
7/11/2014,1.065735
7/12/2014,1.072950
7/13/2014,1.073435
7/14/2014,1.073435
7/15/2014,1.071250
7/16/2014,1.075745
7/17/2014,1.074560
7/18/2014,1.074095
7/19/2014,1.073750
7/20/2014,1.073500
7/21/2014,1.073500
7/22/2014,1.073200
7/23/2014,1.073830
7/24/2014,1.073265
7/25/2014,1.074945
7/26/2014,1.080975
7/27/2014,1.081770
7/28/2014,1.081770
7/29/2014,1.080560
7/30/2014,1.084670
7/31/2014,1.090550
8/1/2014,1.088735
8/2/2014,1.091255
8/3/2014,1.091785
8/4/2014,1.091785
8/5/2014,1.090945
8/6/2014,1.096370
8/7/2014,1.092100
8/8/2014,1.092435
8/9/2014,1.097250
8/10/2014,1.097150
8/11/2014,1.097150
8/12/2014,1.092790
8/13/2014,1.094440
8/14/2014,1.092535
8/15/2014,1.090555
8/16/2014,1.089230
8/17/2014,1.090050
8/18/2014,1.090050
8/19/2014,1.088750
8/20/2014,1.094605
8/21/2014,1.095455
8/22/2014,1.094670
8/23/2014,1.094160
8/25/2014,1.094570
8/26/2014,1.098030
8/27/2014,1.095470
8/28/2014,1.085140
8/29/2014,1.084810
8/30/2014,1.086665
8/31/2014,1.087830
9/1/2014,1.087830
9/2/2014,1.086660
9/3/2014,1.091895
9/4/2014,1.087800
9/5/2014,1.087435
9/6/2014,1.088465
9/8/2014,1.088245
9/9/2014,1.096170
9/10/2014,1.100320
9/11/2014,1.095180
9/12/2014,1.104510
9/13/2014,1.107625
9/14/2014,1.107625
9/15/2014,1.105155
9/16/2014,1.099120
9/17/2014,1.099120
9/18/2014,1.094355
9/19/2014,1.095570
9/20/2014,1.096735
9/21/2014,1.095980
9/22/2014,1.095980
9/23/2014,1.103650
9/24/2014,1.107380
9/26/2014,1.109075
9/27/2014,1.115650
9/28/2014,1.115400
9/29/2014,1.115400
9/30/2014,1.114695
10/1/2014,1.120760
10/2/2014,1.117865
10/3/2014,1.125420
10/4/2014,1.125420
10/5/2014,1.125420
10/6/2014,1.118240
10/7/2014,1.118080
10/8/2014,1.118080
10/9/2014,1.119250
10/10/2014,1.116955
10/11/2014,1.117515
10/12/2014,1.119745
10/13/2014,1.119745
10/14/2014,1.120545
10/15/2014,1.124765
10/16/2014,1.128150
10/17/2014,1.126125
10/18/2014,1.125165
10/19/2014,1.127960
10/20/2014,1.127960
10/21/2014,1.128455
10/22/2014,1.121460
10/23/2014,1.121465
10/24/2014,1.123260
10/25/2014,1.123070
10/26/2014,1.123470
10/27/2014,1.123470
10/28/2014,1.123745
10/29/2014,1.119360
10/30/2014,1.113970
10/31/2014,1.118730
11/1/2014,1.127850
11/2/2014,1.126635
11/3/2014,1.126635
11/4/2014,1.132065
11/5/2014,1.140235
11/6/2014,1.138250
11/7/2014,1.143100
11/8/2014,1.135970
11/9/2014,1.132860
11/10/2014,1.132860
11/11/2014,1.133895
11/12/2014,1.134650
11/13/2014,1.128750
11/14/2014,1.135835
11/15/2014,1.130255
11/16/2014,1.129005
11/17/2014,1.129005
11/18/2014,1.131355
11/19/2014,1.131450
11/20/2014,1.134485
11/21/2014,1.131335
11/22/2014,1.123960
11/23/2014,1.123270
11/24/2014,1.123270
11/25/2014,1.127760
11/26/2014,1.125780
11/27/2014,1.123865
11/28/2014,1.134535
11/29/2014,1.142070
11/30/2014,1.141770
12/1/2014,1.141770
12/2/2014,1.135945
12/3/2014,1.139885
12/4/2014,1.135850
12/5/2014,1.137155
12/6/2014,1.142150
12/7/2014,1.143310
12/8/2014,1.143310
12/9/2014,1.147315
12/10/2014,1.142600
12/11/2014,1.149055
12/12/2014,1.153320
12/13/2014,1.154260
12/14/2014,1.158300
12/15/2014,1.158300
12/16/2014,1.163400
12/17/2014,1.162065
12/18/2014,1.165350
12/19/2014,1.160865
12/20/2014,1.162500
12/21/2014,1.160345
12/22/2014,1.160345
12/23/2014,1.164500
12/24/2014,1.161800
12/25/2014,1.161900
12/26/2014,1.162400
12/27/2014,1.161000
12/28/2014,1.163100
12/29/2014,1.163100
12/30/2014,1.163450
12/31/2014,1.159825
1/4/2015,1.178555
1/5/2015,1.178555
1/6/2015,1.178755
1/7/2015,1.181005
1/8/2015,1.185180
1/9/2015,1.181150
1/10/2015,1.185800
1/11/2015,1.186545
1/12/2015,1.186545
1/13/2015,1.193650
1/14/2015,1.193925
1/15/2015,1.195120
1/16/2015,1.192625
1/17/2015,1.198050
1/18/2015,1.198575
1/19/2015,1.198575
1/20/2015,1.196705
1/21/2015,1.208560
1/22/2015,1.235700
1/23/2015,1.237015
1/24/2015,1.240130
1/25/2015,1.242280
1/26/2015,1.242280
1/27/2015,1.241400
1/28/2015,1.240160
1/29/2015,1.245250
1/30/2015,1.263850
1/31/2015,1.271255
2/1/2015,1.272905
2/2/2015,1.272905
2/3/2015,1.259365
2/4/2015,1.246190
2/5/2015,1.253965
2/6/2015,1.242470
2/7/2015,1.251995
2/8/2015,1.252240
2/9/2015,1.252240
2/10/2015,1.244930
2/11/2015,1.252170
2/12/2015,1.264340
2/13/2015,1.245600
2/14/2015,1.244855
2/15/2015,1.245115
2/16/2015,1.245115
2/17/2015,1.246970
2/18/2015,1.240300
2/19/2015,1.245200
2/20/2015,1.248055
2/21/2015,1.252635
2/22/2015,1.253365
2/23/2015,1.253365
2/24/2015,1.256660
2/25/2015,1.259545
2/26/2015,1.242445
2/27/2015,1.249705
2/28/2015,1.250595
3/1/2015,1.250745
3/2/2015,1.250745
3/3/2015,1.254110
3/4/2015,1.245505
3/5/2015,1.243750
3/6/2015,1.247905
3/7/2015,1.260860
3/8/2015,1.262440
3/9/2015,1.262440
3/10/2015,1.258365
3/11/2015,1.265435
3/12/2015,1.276205
3/13/2015,1.270955
3/14/2015,1.278640
3/15/2015,1.278265
3/16/2015,1.278265
3/17/2015,1.276085
3/18/2015,1.276410
3/19/2015,1.276055
3/20/2015,1.274150
3/21/2015,1.256750
3/22/2015,1.255345
3/23/2015,1.255345
3/24/2015,1.251620
