Date,Price,Volume
2000-09-07,16.8125,21300.0
2000-09-08,16.5,32900.0
2000-09-11,16.625,33900.0
2000-09-12,16.5,11300.0
2000-09-13,16.625,34800.0
2000-09-14,17.0,17900.0
2000-09-15,17.125,5500.0
2000-09-18,16.75,15200.0
2000-09-19,16.8125,12300.0
2000-09-20,16.5,9200.0
2000-09-21,16.25,22200.0
2000-09-22,16.125,29700.0
2000-09-25,16.375,21100.0
2000-09-26,16.375,18500.0
2000-09-27,15.875,14200.0
2000-09-28,16.125,293800.0
2000-09-29,16.125,3000.0
2000-10-02,16.125,33100.0
2000-10-03,16.125,5000.0
2000-10-04,16.375,12200.0
2000-10-05,16.4375,116700.0
2000-10-06,16.25,143200.0
2000-10-09,16.125,18000.0
2000-10-10,16.0625,15500.0
2000-10-11,15.75,5000.0
2000-10-12,15.375,30800.0
2000-10-13,15.75,48100.0
2000-10-16,15.8125,186800.0
2000-10-17,15.5625,14500.0
2000-10-18,15.25,12700.0
2000-10-19,15.75,19700.0
2000-10-20,15.9375,220800.0
2000-10-23,16.0,55000.0
2000-10-24,16.0,30200.0
2000-10-25,14.6875,58000.0
2000-10-26,14.5625,61800.0
2000-10-27,14.6875,125600.0
2000-10-30,14.3125,16700.0
2000-10-31,14.875,25700.0
2000-11-01,14.8125,39100.0
2000-11-02,14.75,88900.0
2000-11-03,15.0625,24700.0
2000-11-06,15.0,8200.0
2000-11-07,14.875,4400.0
2000-11-08,14.5,11300.0
2000-11-09,14.3125,22800.0
2000-11-10,14.0,1100.0
2000-11-13,13.875,48800.0
2000-11-14,14.0,6300.0
2000-11-15,13.875,6600.0
2000-11-16,13.625,25500.0
2000-11-17,13.4375,13000.0
2000-11-20,13.4375,50600.0
2000-11-21,13.5625,19300.0
2000-11-22,13.25,14200.0
2000-11-24,13.5625,1100.0
2000-11-27,13.875,5100.0
2000-11-28,13.5625,16800.0
2000-11-29,13.25,7600.0
2000-11-30,13.1875,40200.0
2000-12-01,13.4375,2300.0
2000-12-04,13.5,13400.0
2000-12-05,13.875,19300.0
2000-12-06,14.25,28300.0
2000-12-07,14.0,15200.0
2000-12-08,14.5,6500.0
2000-12-11,14.5,19400.0
2000-12-12,14.3125,22100.0
2000-12-13,13.9375,22900.0
2000-12-14,13.875,32800.0
2000-12-15,13.5625,34200.0
2000-12-18,13.5625,2500.0
2000-12-19,13.3125,29400.0
2000-12-20,12.625,5800.0
2000-12-21,12.75,4600.0
2000-12-22,12.75,31000.0
2000-12-26,12.9375,9900.0
