Date,Price,Volume
2001-01-23,50.1875,3197400.0
2001-01-24,50.0,938800.0
2001-01-25,49.8125,772000.0
2001-01-26,49.8125,435200.0
2001-01-29,50.825,596800.0
2001-01-30,51.155,1381400.0
2001-01-31,50.45,922400.0
2001-02-01,50.82,702800.0
2001-02-02,49.685,858600.0
2001-02-05,49.785,541600.0
2001-02-06,50.575,424800.0
2001-02-07,50.7,406600.0
2001-02-08,49.94,2393800.0
2001-02-09,49.3,985000.0
2001-02-12,50.4,443200.0
2001-02-13,49.925,913000.0
2001-02-14,50.45,336000.0
2001-02-15,50.7,1262000.0
2001-02-16,49.605,675400.0
2001-02-20,49.03,631000.0
2001-02-21,48.175,399600.0
2001-02-22,47.5,526600.0
2001-02-23,47.6,380800.0
2001-02-26,48.65,903200.0
2001-02-27,47.775,448400.0
2001-02-28,47.075,316200.0
2001-03-01,47.4,541600.0
2001-03-02,47.525,1030800.0
2001-03-05,47.35,522200.0
2001-03-06,48.05,522000.0
2001-03-07,48.3,394600.0
2001-03-08,47.9,830400.0
2001-03-09,46.955,246600.0
2001-03-12,45.625,1006400.0
2001-03-13,46.1,672200.0
2001-03-14,45.0,655800.0
2001-03-15,44.825,561600.0
2001-03-16,44.0,301400.0
2001-03-19,45.15,784600.0
2001-03-20,44.1,625200.0
2001-03-21,43.425,494800.0
2001-03-22,43.0,1193000.0
2001-03-23,44.125,297200.0
2001-03-26,44.725,1011600.0
2001-03-27,45.085,633200.0
2001-03-28,43.875,1233200.0
2001-03-29,43.95,591800.0
2001-03-30,44.8,231400.0
2001-04-02,43.75,340200.0
2001-04-03,42.265,507400.0
2001-04-04,42.4,356400.0
2001-04-05,44.45,950000.0
2001-04-06,43.2,405000.0
2001-04-09,44.15,569800.0
2001-04-10,45.2,769000.0
2001-04-11,44.9,526800.0
2001-04-12,45.45,492000.0
2001-04-16,44.63,262400.0
2001-04-17,45.35,295400.0
2001-04-18,46.675,688600.0
2001-04-19,47.195,251200.0
2001-04-20,46.645,504000.0
2001-04-23,45.8,305200.0
2001-04-24,46.15,319200.0
2001-04-25,47.15,390200.0
2001-04-26,47.825,323600.0
2001-04-27,48.45,1761400.0
2001-04-30,48.5,1112800.0
2001-05-01,49.1,563400.0
2001-05-02,48.975,590200.0
2001-05-03,48.37,385600.0
2001-05-04,49.05,754000.0
2001-05-07,48.75,269000.0
2001-05-08,49.0,437800.0
2001-05-09,48.7,237000.0
2001-05-10,48.75,562600.0
2001-05-11,48.46,1009600.0
2001-05-14,48.45,249400.0
2001-05-15,48.925,435000.0
2001-05-16,49.865,633200.0
2001-05-17,50.38,173600.0
2001-05-18,50.575,309000.0
2001-05-21,51.45,376000.0
2001-05-22,51.7,896200.0
2001-05-23,50.5,659000.0
2001-05-24,51.025,540200.0
2001-05-25,50.65,339600.0
2001-05-29,50.0,753600.0
2001-05-30,49.35,849400.0
2001-05-31,49.55,972000.0
2001-06-01,50.135,538200.0
2001-06-04,50.79,417800.0
2001-06-05,51.5,1191600.0
2001-06-06,51.175,1081200.0
2001-06-07,51.39,262800.0
2001-06-08,50.95,545400.0
2001-06-11,50.275,513400.0
2001-06-12,50.4,690200.0
2001-06-13,50.33,759400.0
2001-06-14,49.075,865200.0
2001-06-15,49.375,817800.0
2001-06-18,49.0,685600.0
2001-06-19,48.85,763600.0
2001-06-20,49.425,861400.0
2001-06-21,49.495,776800.0
2001-06-22,48.6,673400.0
2001-06-25,48.26,1857600.0
2001-06-26,49.0,1007600.0
2001-06-27,49.475,989000.0
2001-06-28,50.1,922600.0
2001-06-29,50.95,2283200.0
2001-07-02,49.8,2142000.0
2001-07-03,49.5,1084800.0
