"","zz500","zz500.1"
"2013-04-10",0,-0.00188011501880114
"2013-04-11",0,-0.00387811634349022
"2013-04-12",0,-0.0081201334816462
"2013-04-15",0,-0.0133452955029719
"2013-04-16",0,0.0103432598317799
"2013-04-17",0,0.0083248959388007
"2013-04-18",0.00290081445944446,0.00290081445944446
"2013-04-19",0,0.0200244743575482
"2013-04-22",0.00447158905005995,0.00447158905005995
"2013-04-23",-0.0260586319218241,-0.0260586319218241
"2013-04-24",0,0.0189520624303232
"2013-04-25",0,-0.0144420131291029
"2013-04-26",0,-0.014986678507993
"2013-05-02",0,0.00428265524625271
"2013-05-03",0,0.018628661205252
"2013-05-06",0.0178473063787596,0.0178473063787596
"2013-05-07",0.00216473644333792,0.00216473644333792
"2013-05-08",0.00853223890268939,0.00853223890268939
"2013-05-09",0.000642535874919803,0.000642535874919803
"2013-05-10",0.00599315068493134,0.00599315068493134
"2013-05-13",0.0036170212765958,0.0036170212765958
"2013-05-14",-0.0105999576001696,-0.0105999576001696
"2013-05-15",0,0.0127490893507607
"2013-05-16",0.00962657357452668,0.00962657357452668
"2013-05-20",0.0262992455993294,0.0262992455993294
"2013-05-21",0.0122511485451762,0.0122511485451762
"2013-05-22",-0.00736258194654571,-0.00736258194654571
"2013-05-23",-0.00792521845153416,-0.00792521845153416
"2013-05-24",0,0.0147480540761982
"2013-05-28",0,0.011707710940654
"2013-05-29",0.00728252194732648,0.00728252194732648
"2013-05-30",0,0.00227790432801811
"2013-05-31",0,-0.00573122529644277
"2013-06-03",0,-0.00636056450009936
"2013-06-04",0,-0.0186037207441488
"2013-06-05",0,0.00397472482674277
"2013-06-06",0,-0.016546543498122
"2013-06-07",0,-0.018476465730801
"2013-06-13",0,-0.0263960458512987
"2013-06-14",0,0.0187945560596241
"2013-06-17",0,0.00222646310432562
"2013-06-18",0.00359674177509772,0.00359674177509772
"2013-06-19",0,-0.00558659217877089
"2013-06-20",0,-0.0310578757684969
"2013-06-21",0,-0.00481347773766549
"2013-06-24",0,-0.058590744201385
"2013-06-25",0,-0.00397010742643633
"2013-06-26",0,0.019812426729191
"2013-06-27",0,-0.0154040694332681
"2013-06-28",0,0.000934033858727368
"2013-07-02",0,0.033477195847428
"2013-07-03",0.00169300225733626,0.00169300225733626
"2013-07-05",0,0.00225352112676047
"2013-07-08",0,-0.0367622259696458
"2013-07-09",0,0.00560224089635852
"2013-07-10",0,0.0298282265552461
"2013-07-11",0,0.0265975431083061
"2013-07-12",-0.00834339664068506,-0.00834339664068506
"2013-07-15",0.0192627034207904,0.0192627034207904
"2013-07-16",0.0118388182904312,0.0118388182904312
"2013-07-17",0,-0.0137398024903392
"2013-07-18",0,-0.0009795385285154
"2013-07-19",0,-0.0236409194901406
"2013-07-22",0,0.018634233430038
"2013-07-23",0,0.0228940738306496
"2013-07-24",0.00556864424930392,0.00556864424930392
"2013-07-25",0,-0.0179978700745473
"2013-07-26",0,-0.00108448107580528
"2013-07-29",0,-0.0183476278362827
"2013-07-30",0,-0.00431320504313204
"2013-07-31",0,0.00533155614795078
"2013-08-01",0,0.025080101646227
"2013-08-02",0.00334123733563274,0.00334123733563274
"2013-08-05",0.0156837469115909,0.0156837469115909
"2013-08-06",0.010153358011634,0.010153358011634
"2013-08-07",0,-0.00900429274421521
"2013-08-08",0,0.00253565768621233
"2013-08-09",0,0.00347771103382866
"2013-08-12",0,0.015227893299727
"2013-08-13",0.00496534602255094,0.00496534602255094
"2013-08-16",0,-0.0363355635615028
"2013-08-19",0,0.0145268105105747
"2013-08-20",0,-0.00242156243419667
"2013-08-21",0,0.00738786279683379
"2013-08-22",0,0.00240963855421694
"2013-08-23",0,-0.00229933110367886
"2013-08-30",0,0.00942803268384673
"2013-09-06",0,0.0332088003320881
"2013-09-09",0.00974286862193652,0.00974286862193652
"2013-09-10",0.00964886103650642,0.00964886103650642
"2013-09-11",-0.00906403940886691,-0.00906403940886691
"2013-09-12",0.00278385364883671,0.00278385364883671
"2013-09-13",0.00109062066230425,0.00109062066230425
"2013-09-16",0.00069327523026641,0.00069327523026641
"2013-09-17",-0.016825019794141,-0.016825019794141
"2013-09-18",0,0.00895913025971407
"2013-09-23",0,0.0194552529182881
"2013-09-24",0.000685065570561694,0.000685065570561694
"2013-09-27",0,-0.0192665036674817
"2013-09-30",0,0.0121659353809334
"2013-10-08",0.0158620689655173,0.0158620689655173
"2013-10-09",0.0105712346038214,0.0105712346038214
"2013-10-10",0,-0.00518234165067188
"2013-10-11",0,0.0162068300212233
"2013-10-22",0.000379722802354543,0.000379722802354543
"2013-10-23",0,-0.0241032453976088
"2013-10-24",0,-0.0063204978607545
"2013-10-25",0,-0.0186906742342696
"2013-10-29",0,-0.0293179098524131
"2013-10-30",0,0.0154099034312718
"2013-10-31",0,-0.0128490489680291
"2013-11-01",0,-0.00276724402992723
"2013-11-04",0,0.00657759506680367
"2013-11-05",0,0.0124566060853584
"2013-11-06",0,-0.0101855586930214
"2013-11-07",0,-0.0132450331125827
"2013-11-08",0,-0.0142488384099123
"2013-11-12",0,0.013093118257044
"2013-11-13",-0.0176799007444168,-0.0176799007444168
"2013-11-14",0,0.0126302494474266
"2013-11-15",0,0.0198524061947822
"2013-11-18",0.023134936812067,0.023134936812067
"2013-11-19",0.00308795696782527,0.00308795696782527
"2013-11-20",0,0.00943396226415105
"2013-11-21",0,-0.00324643384161327
"2013-11-22",0,-0.00562574022897755
"2013-11-25",0,-0.000694789081886027
"2013-11-26",0,0.0013905442987685
"2013-11-27",0.010910533624281,0.010910533624281
