"","zz500","zz500.1","zz500.2","zz500.3","zz500.4"
"2013-04-10",-0.00148501786920188,-0.0588329671202761,0.191446731571123,0.437408749615853,-0.383408683804262
"2013-04-11",0.182486170171338,-0.168720044214844,-0.293600944277891,0.154949706090551,0.394690414267787
"2013-04-12",0.178624609868248,-0.17213889931409,-0.292216010897783,0.154949706090551,0.396037922698432
"2013-04-15",-0.175284166178667,-0.289988965498847,0.154949706090551,0.396037922698432,0.173473227535025
"2013-04-16",-0.293600944277891,0.156667231523943,0.396037922698432,0.181855400071844,-0.173066754445947
"2013-04-17",0.441847251799156,0.193139019189483,-0.385056694586414,-0.00533967795659778,-0.0734981825314897
"2013-04-18",0.193139019189483,-0.385570502816245,-0.00660396661410011,-0.0680714146990956,0.441298706501323
"2013-04-19",-0.384617559928661,0.193139019189483,-0.00463983597352334,-0.0725627526152477,0.441848614131676
"2013-04-22",-0.347383313609044,0.135537634877535,-0.184858337484295,0.414784763041076,0.178555623513587
"2013-04-23",0.209072022789441,0.0729930400263305,0.289949424916413,-0.237338458143789,-0.0998553736727959
"2013-04-24",0.193117671455188,0.098284555716063,0.285538820570951,-0.241336190383673,-0.0710551150783818
"2013-04-25",0.182759247162514,0.113968588052473,0.282191429687852,-0.247052147809913,-0.0681683308875614
"2013-04-26",0.119578434629901,0.282612777986366,-0.252395678574589,-0.0681683308875614,0.182759247162514
"2013-05-02",0.271234615530202,0.150782275691871,-0.255013080991518,-0.069687337752959,0.181214434005948
"2013-05-03",0.228959789440057,0.248202391706723,-0.258645696075155,-0.173103847667245,0.186393664927865
"2013-05-06",0.248844489042335,-0.263372304727081,-0.173103847667245,0.235832809574894,0.186393664927865
"2013-05-07",0.249560105793727,-0.261493516845681,-0.173103847667245,0.232856661503668,0.186393664927865
"2013-05-08",-0.262017550336154,-0.173103847667245,0.253576847244135,0.235239909201543,0.18447022525001
"2013-05-09",-0.173103847667245,-0.26215814127874,0.254974315502637,0.235239909201543,0.18447022525001
"2013-05-10",-0.23466890479059,0.0107557443247127,-0.385783886051148,0.472890168993376,0.261538486000905
"2013-05-13",-0.237664057616411,0.00781785975759964,-0.385414322046109,0.473481381972728,0.25834679142222
"2013-05-14",0.00781785975759964,-0.233920276194651,-0.387569205280831,0.473481381972728,0.25834679142222
"2013-05-15",-0.257026671247654,0.00169873614714056,-0.377541401901577,0.467929234270872,0.289450514178222
"2013-05-16",0.00129155046220986,-0.374457871561761,0.467186996874413,-0.26881973128191,0.306370904285777
"2013-05-20",0.00979136946875589,-0.378475602541339,0.469296819130999,-0.25970967559681,0.289450514178222
"2013-05-21",0.0138795457471792,-0.377541401901577,0.470748497190273,-0.258635288058796,0.289450514178222
"2013-05-22",0.193055903187618,0.275848603689755,-0.0626104677875898,0.191686525127701,-0.260061590333534
"2013-05-23",0.294218939290185,0.107878109008991,-0.0580063324716976,0.182759247162514,-0.234091126002296
