"","V1","V2","V3","V4","V5"
"2013-04-10",0.000350510880402205,0.916527361150236,9.83491061303684e-05,0.0410419869170643,0.0419817919461672
"2013-04-11",3.8932565703625e-05,0.990543452557176,0.00763442560669935,0.000244203737648012,0.00153898553277268
"2013-04-12",2.271506485308e-05,0.987130243100672,0.0125642628176316,3.45736412292494e-05,0.000248205375614319
"2013-04-15",0.968785336835338,0.0311477891084048,1.21605607765091e-06,2.09707125718754e-05,4.46872876073871e-05
"2013-04-16",0.0242363934155026,3.30817692060185e-10,0.2349798001494,0.000276887679415571,0.740506918424864
"2013-04-17",0.647890792995785,4.9814036290645e-05,0.0125420120966191,0.00103668983981391,0.338480691031491
"2013-04-18",0.000216607274423844,0.0268390820493962,0.00052167974372526,0.622229644760505,0.350192986171949
"2013-04-19",0.000446313372252567,0.00441154215031684,0.00403516189746607,0.0105938400901959,0.980513142489769
"2013-04-22",0.00340448918611222,0.00149418872437152,0.00825719835570773,0.986842368331144,1.75540266466454e-06
"2013-04-23",0.095812029977618,0.858444608361946,0.000395272159727047,0.0425791274019107,0.00276896209879808
"2013-04-24",0.0101641356300173,0.366952821735315,0.00423556689602129,0.558153547970178,0.0604939277684679
"2013-04-25",0.000964767070147521,0.33481288476443,0.0702598441283946,0.564049454868831,0.0299130491681971
"2013-04-26",0.0215785582770117,0.000853885343609113,0.970518181811264,0.00704828155488768,1.09301322741255e-06
"2013-05-02",0.0190792363745516,0.0484776520132138,0.927887764939037,0.00455406632036428,1.28035283374377e-06
"2013-05-03",0.383739352332615,0.241698310423944,0.371640259561743,0.00214690879056529,0.00077516889113289
"2013-05-06",0.468553826267749,0.0103412846252898,0.00029789576372972,0.516911009415205,0.00389598392802626
"2013-05-07",0.873909712272822,0.0160927448729665,0.000449996781266863,0.10776374093633,0.00178380513661525
"2013-05-08",0.0538235868605292,0.0009224277668669,0.925495684254132,0.0194876013053138,0.00027069981315792
