19780103,276,634,1619,1850,4611,2489
19780104,235,615,1677,2368,4509,2773
19780105,310,468,1749,2688,3342,2800
19780106,173,839,1515,1241,6471,2438
19780109,138,849,1540,1262,6174,2144
19780110,212,626,1691,2164,7363,93
19780111,281,523,1712,2117,3244,2799
19780112,497,301,1727,4406,1634,2550
19780113,428,243,1855,2772,1297,2811
19780116,256,441,1820,1748,2971,2411
19780117,492,257,1778,3651,1412,2237
19780118,519,215,1793,4272,1688,2540
19780119,424,253,1850,2556,1537,2867
19780120,278,324,1925,1835,1465,2480
19780123,521,416,1589,2339,2247,2404
19780124,420,272,1834,2544,1506,3210
19780125,432,246,1850,3017,1288,2995
19780126,313,455,1755,1864,3064,2462
19780127,320,331,1874,2494,1777,2489
19780130,487,215,1827,3531,1202,2467
19780131,376,353,1799,2591,2488,3211
19780201,542,207,1777,4912,857,2831
19780202,511,215,1800,4007,1810,2963
19780203,440,251,1834,3680,1607,3023
19780206,425,391,1709,1803,1127,1720
19780207,541,237,1747,3020,707,1923
19780208,554,229,1741,4297,1574,3379
19780209,436,286,1802,3357,2392,3031
19780210,531,202,1791,4578,1259,2903
19780213,336,380,1807,2450,2603,3327
19780214,283,518,1721,1931,4032,2717
19780215,334,379,1810,3031,2466,3073
19780216,281,479,1763,2306,3763,3141
19780217,350,291,1885,3418,1376,3416
19780221,384,404,1826,2070,2927,3223
19780222,400,326,1800,2695,1953,2742
19780223,382,270,1873,2681,1731,2628
19780224,509,160,1854,4263,1318,2709
19780227,348,415,1764,2017,3069,2924
19780228,237,570,1720,1684,3694,2602
19780301,371,390,1765,2552,1883,3385
19780302,455,228,1843,3801,1080,3359
19780303,414,251,1862,3160,1833,3087
19780306,313,387,1824,2051,2084,3065
19780307,438,250,1836,4243,1323,2734
19780308,450,248,1826,5067,1549,3514
19780309,511,271,1742,4081,2288,3031
19780310,526,221,1777,4856,1853,2971
19780313,442,305,1778,2891,2588,3331
19780314,388,373,1767,3069,2515,3336
19780315,422,291,1813,3211,2262,3197
19780316,502,212,1810,4857,1515,2928
19780317,570,207,1746,5760,1061,3039
19780320,492,294,1738,4056,2539,2995
19780321,340,448,1735,3086,3551,2903
19780322,374,325,1824,3309,2006,3385
19780323,430,271,1822,3160,2108,3482
19780327,474,313,1734,3572,2100,1808
19780328,490,278,1753,4200,1700,3510
19780329,549,246,1726,4970,1830,2970
19780330,477,241,1773,4229,1815,3466
19780331,419,290,1810,3944,2134,2992
19780403,344,477,1696,2410,3942,3038
19780404,424,317,1777,3082,2092,3376
19780405,595,208,1717,6210,1473,3107
19780406,549,243,1726,5659,2730,3141
19780407,568,211,1736,5519,1449,3332
19780410,489,308,1718,4347,2698,3445
19780411,421,413,1681,3573,4020,3227
19780412,482,311,1720,1809,1811,7070
19780413,685,235,1601,8032,1326,3202
19780414,789,230,1503,8894,2018,3568
19780417,937,391,1494,6419,4744,3367
19780418,351,569,1601,2862,5358,4040
19780419,457,424,1639,4769,3023,3908
19780420,635,260,1625,7453,2199,3978
19780421,525,333,1662,6312,2956,3532
19780424,536,321,1665,5236,2118,3636
19780425,583,336,1602,6763,3553,4654
19780426,513,386,1624,6617,2980,4233
19780427,428,457,1636,4613,4209,4698
19780428,536,299,1686,7219,2180,4081
19780501,567,326,1629,6732,2275,4493
19780502,478,450,1596,5044,5468,3818
19780503,454,410,1658,4996,4840,4974
19780504,468,409,1645,8184,2855,3531
