19650301,550,561,261,2750,2240,790
19650302,590,520,258,3480,1710,540
19650303,574,528,261,3220,2150,1230
19650304,490,594,275,2400,2790,2110
19650305,446,646,268,2760,2620,740
19650308,626,466,270,2640,1740,870
19650309,501,609,260,1990,2540,680
19650310,532,554,284,2470,1940,690
19650311,614,452,297,3370,1560,840
19650312,640,477,246,3380,2300,690
19650315,578,535,278,2820,2420,760
19650316,536,574,261,2540,2380,560
19650317,485,599,294,2010,2350,760
19650318,457,624,285,1790,2380,820
19650319,474,602,285,2110,2160,770
19650322,538,559,264,2470,1890,560
19650323,534,537,286,2240,1850,730
19650324,579,471,300,2940,1730,750
19650325,482,597,308,2010,2500,950
19650326,278,828,268,1060,3330,630
19650329,360,737,264,1400,2540,650
19650330,574,482,304,2350,1220,700
19650331,602,473,276,2260,1500,710
19650401,551,507,291,2480,1660,750
19650402,684,421,267,2950,1530,580
19650405,575,530,277,2230,1970,710
19650406,499,591,264,2080,1970,560
19650407,557,488,321,2160,1370,900
19650408,751,353,260,3970,1110,690
19650409,742,378,254,4510,1410,660
19650412,741,413,229,3700,1560,780
19650413,605,539,244,3510,2410,770
19650414,605,497,272,3530,2120,940
19650415,570,516,278,2970,2050,810
19650419,621,482,281,3090,1790,830
19650420,580,553,246,3120,2550,810
19650421,447,670,280,2160,2690,740
19650422,667,464,249,3600,1660,730
19650423,600,497,275,2900,2060,900
19650426,546,550,274,2340,2120,960
19650427,620,514,262,3340,2310,670
19650428,475,593,305,2110,2630,940
19650429,537,566,263,2620,2240,650
19650430,504,574,290,2240,2160,790
19650503,501,619,254,2110,2490,740
19650504,606,485,290,3080,2000,650
19650505,641,488,254,3380,2330,640
19650506,583,509,304,3580,1810,950
19650507,524,585,281,2600,2440,780
19650510,553,595,238,2540,2410,650
19650511,457,664,274,2200,2210,740
19650512,649,486,251,3860,1840,600
19650513,615,474,276,3520,1940,1000
19650514,543,572,264,2640,2470,760
19650517,432,698,287,1400,2750,840
19650518,523,566,287,2570,1800,760
19650519,613,486,276,3300,1750,810
19650520,337,787,251,1540,3650,560
19650521,390,702,288,1350,2590,720
19650524,303,867,218,1080,3280,430
19650525,680,446,266,3170,1230,550
19650526,379,702,304,1360,2990,980
19650527,277,891,240,1440,3490,610
19650528,692,382,286,2730,1020,520
19650601,345,798,241,1060,3160,610
19650602,196,1000,223,1340,4760,690
19650603,428,665,282,1840,3050,830
19650604,588,528,269,2540,1390,600
19650607,337,799,249,1350,2860,470
19650608,215,938,229,500,3800,360
19650609,257,911,219,1150,5270,650
19650610,351,823,225,1830,4750,890
19650611,692,428,235,3230,1530,590
19650614,161,1036,171,510,5000,410
19650615,597,559,235,5370,2250,850
19650616,908,272,194,4370,1300,620
19650617,745,332,297,2670,1770,780
19650618,355,726,262,920,2910,500
19650621,318,744,286,750,1920,610
19650622,569,480,279,1560,1050,730
19650623,279,771,282,650,2440,500
19650624,116,1088,152,200,5290,360
19650625,271,868,218,1070,4120,610
19650628,104,1167,127,310,7090,260
19650629,616,563,222,6790,2360,1300
19650630,1168,101,116,6390,410,130
19650701,779,356,227,2780,1110,630
19650702,860,274,212,3200,690,370
19650706,546,540,266,1030,1850,530
19650707,395,686,268,1020,1600,410
19650708,741,332,258,3100,730,550
19650709,754,350,236,3180,1150,470
19650712,578,517,254,1770,1400,530
19650713,433,628,272,1190,1650,430
19650714,629,427,286,2490,1150,470
19650715,591,492,276,1920,1920,590
19650716,501,542,286,1330,1530,670
19650719,472,583,276,1280,1440,440
19650720,226,937,211,540,3720,410
19650721,325,747,259,1150,2610,600
19650722,454,570,301,1320,1480,530
19650723,609,461,285,2330,810,460
19650726,543,544,258,1980,1310,490
19650727,459,620,248,1460,2300,440
19650728,563,503,293,2700,1400,660
19650729,816,309,237,3050,1050,590
19650730,802,315,228,3450,1200,550
19650802,650,453,252,2310,1390,530
19650803,570,506,266,2470,1440,730
19650804,767,364,232,3080,1160,590
19650805,575,492,272,2250,1710,970
19650806,627,410,303,2440,1190,580
19650809,550,541,270,2250,1760,530
19650810,567,473,319,2520,1490,690
19650811,684,422,231,3120,1380,530
19650812,666,386,280,3000,1580,590
19650813,699,419,238,3620,1270,550
19650816,622,495,259,2500,1980,790
