2018-01-21 21:02:04.351 @ y1805|21:02:04.351|3|5712.000000|156804|1|5710.000000|169|5712.000000|514|900256|5680.000000|5726.000000|5674.000000|5678.000000|5980.000000|5412.000000
2018-01-21 21:02:04.351 @ IC1803|21:02:04.351|3|6188.400000|240|1|6188.000000|1|6192.800000|1|9601|6222.800000|6222.800000|6179.200000|6208.200000|6839.200000|5596.000000
2018-01-21 21:02:04.351 @ ru1805|21:02:04.351|3|14065.000000|184894|1|14060.000000|94|14065.000000|64|444648|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:04.351 @ IC1802|21:02:04.351|3|6212.000000|2171|1|6211.600000|1|6212.800000|1|14558|6234.800000|6243.400000|6200.800000|6232.000000|6866.200000|5617.800000
2018-01-21 21:02:04.643 @ v1805|21:02:04.643|3|6660.000000|88470|1|6660.000000|451|6665.000000|529|276710|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:04.643 @ cu1802|21:02:04.643|3|53530.000000|30322|1|53520.000000|11|53530.000000|3|97064|53650.000000|53700.000000|53210.000000|53620.000000|56230.000000|50880.000000
2018-01-21 21:02:04.658 @ i1805|21:02:04.658|3|542.000000|1293260|1|541.500000|1245|542.000000|2260|1582390|544.500000|547.500000|540.500000|543.500000|579.500000|494.500000
2018-01-21 21:02:04.931 @ ru1805|21:02:04.930|3|14065.000000|184896|1|14060.000000|94|14065.000000|63|444650|14095.000000|14130.000000|14000.000000|14065.000000|15080.000000|13105.000000
2018-01-21 21:02:05.064 @ IF1803|21:02:05.064|3|4312.800000|738|1|4311.000000|5|4314.400000|3|16725|4312.200000|4319.600000|4300.000000|4312.000000|4740.000000|3878.400000
2018-01-21 21:02:05.071 @ v1805|21:02:05.071|3|6660.000000|88470|1|6660.000000|471|6665.000000|529|276710|6695.000000|6705.000000|6655.000000|6670.000000|6980.000000|6320.000000
2018-01-21 21:02:05.228 @ cu1802|21:02:05.228|3|53530.000000|30322|1|53520.000000|13|53530.000000|5|97064|53650.000000|53700.000000|53210.000000|53620.000000|56230.000000|50880.000000
